sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,807,2,73
1,170,824,41,66
2,162,36920,590,1160
3,161,43372,278,534
4,164,1080,0,16
5,161,20547,492,760
6,162,44347,1066,1577
7,161,48273,1169,1814
8,161,43516,1101,1611
9,161,47960,1119,1632
10,161,45578,1099,1865
11,160,46966,1098,1608
12,161,46407,1114,1880
13,161,45801,1073,1584
14,161,47569,1140,1905
15,161,44550,1046,1556
16,161,48478,1156,1912
17,161,43438,1102,1612
18,161,47803,1132,1646
19,160,45242,1090,1855
20,161,46899,1095,1606
21,162,41062,997,1509
22,161,45020,1088,1799
23,161,47325,1103,1613
24,160,46002,1110,1879
25,161,46105,1077,1588
26,161,47107,1129,1894
27,161,45136,1059,1571
28,161,48196,1152,1917
29,161,44422,1073,1583
30,161,48231,1169,1795
31,161,43704,1103,1614
32,161,47741,1113,1627
33,161,45511,1096,1861
34,161,46604,1089,1599
35,161,46743,1124,1889
36,161,45383,1063,1573
37,161,47876,1146,1911
38,161,44556,1056,1567
39,161,48918,1169,1934
40,161,43600,1098,1608
41,161,47814,1141,1655
42,161,45178,1091,1856
43,161,47424,1108,1618
44,160,46056,1108,1873
45,161,45954,1074,1584
46,162,45491,1067,1833
47,161,43698,1099,1610
48,161,47938,1147,1661
49,161,45000,1086,1851
50,161,46981,1095,1605
51,161,46304,1114,1880
52,161,46143,1081,1591
53,160,47344,1135,1900
54,161,45127,1060,1570
55,161,48224,1151,1916
56,161,43990,1077,1587
57,161,48086,1169,1712
58,161,44110,1093,1653
59,161,47564,1109,1619
60,161,45984,1111,1876
61,161,46731,1093,1603
62,161,46673,1120,1885
63,161,45443,1066,1576
64,161,47802,1143,1909
65,161,44638,1057,1567
66,161,48830,1165,1931
67,161,44313,1100,1610
68,161,49513,1169,1854
69,162,44348,1108,1619
70,168,49673,1169,1846
71,161,43422,1105,1618
72,161,47689,1118,1632
73,160,45419,1094,1859
74,161,46353,1081,1591
75,160,46687,1119,1884
76,160,45186,1058,1568
77,160,48113,1150,1915
78,161,44187,1066,1576
79,161,48143,1169,1780
80,160,43498,1089,1603
81,160,46936,1091,1601
82,161,45989,1105,1873
83,160,45680,1067,1577
84,162,47327,1132,1899
85,161,44482,1041,1551
86,160,48482,1156,1921
87,161,43397,1091,1601
88,160,47253,1124,1638
89,161,45321,1090,1855
90,160,46537,1086,1598
91,160,46704,1121,1886
92,160,45285,1060,1570
93,161,47903,1146,1911
94,161,44354,1062,1572
95,154,42363,1030,1543
96,161,46928,1126,1892
97,161,45563,1069,1579
98,161,47826,1144,1910
99,161,44413,1061,1571
100,161,49097,1171,1939
101,161,43435,1100,1610
102,161,47732,1132,1646
103,161,45240,1090,1855
104,161,46770,1091,1601
105,160,46521,1118,1888
106,161,45684,1069,1579
107,161,47545,1138,1904
108,161,44429,1048,1558
109,161,48992,1170,1936
110,161,43679,1094,1604
111,161,47625,1141,1655
112,161,45336,1096,1861
113,160,47004,1095,1605
114,161,46154,1110,1876
115,161,45911,1074,1584
116,161,47273,1131,1896
117,161,44941,1056,1566
118,160,48540,1159,1924
119,162,43860,1084,1594
120,161,44545,1064,1578
121,161,46256,1112,1877
122,161,45617,1067,1577
123,160,47700,1144,1909
124,161,44749,1053,1564
125,161,48469,1156,1922
126,161,43833,1094,1604
127,160,47619,1145,1659
128,161,45122,1090,1855
129,161,47052,1099,1609
130,161,46250,1112,1877
131,161,46047,1077,1587
132,161,47202,1134,1900
133,160,44650,1046,1556
134,161,48548,1160,1925
135,161,44178,1084,1594
136,162,47757,1168,1682
137,160,44439,1095,1685
138,161,47373,1103,1613
139,161,45904,1105,1870
140,160,46179,1079,1589
141,161,47097,1131,1896
142,161,45391,1065,1575
143,161,47966,1147,1912
144,161,44419,1064,1574
145,161,44634,1097,1612
146,161,45782,1102,1868
147,161,46330,1083,1593
148,161,46916,1123,1889
149,160,45010,1055,1565
150,161,48306,1155,1920
151,161,44366,1073,1583
152,161,48059,1169,1768
153,161,43866,1101,1615
154,161,47421,1103,1616
155,160,45612,1096,1861
156,161,46260,1081,1591
157,161,47146,1133,1898
158,161,45266,1061,1571
159,160,48162,1153,1918
160,162,44553,1064,1574
161,161,48511,1169,1870
162,161,43392,1106,1616
163,161,47707,1125,1639
164,160,45432,1096,1861
165,161,46755,1091,1601
166,161,46413,1114,1879
167,160,45605,1068,1578
168,161,47587,1138,1905
169,161,44326,1054,1564
170,162,42187,1030,1544
171,160,47468,1146,1912
172,161,46582,1095,1605
173,161,47904,1160,1925
174,160,46622,1097,1607
175,161,47113,1129,1895
176,160,44957,1056,1566
177,161,48205,1151,1916
178,161,43794,1084,1594
179,161,47518,1149,1663
180,161,44932,1087,1852
181,161,46981,1095,1605
182,160,46349,1115,1880
183,161,45776,1070,1580
184,161,47496,1140,1906
185,161,45065,1058,1568
186,160,48240,1152,1917
187,162,43962,1080,1590
188,160,47368,1153,1667
189,161,44980,1087,1833
190,161,47433,1107,1617
191,161,45968,1107,1873
192,160,46305,1083,1593
193,161,46827,1121,1887
194,161,44942,1054,1564
195,161,44917,1110,1619
196,161,45003,1087,1853
197,160,46942,1094,1604
198,161,46270,1113,1879
199,160,46038,1078,1588
200,161,47311,1134,1900
201,161,44928,1055,1565
202,161,48228,1149,1914
203,161,43908,1087,1597
204,161,48028,1165,1679
205,160,44512,1090,1709
206,161,47406,1105,1615
207,161,45878,1104,1870
208,160,45921,1072,1582
209,161,47298,1136,1902
210,161,44636,1045,1556
211,160,48235,1149,1914
212,161,43461,1092,1602
213,161,47879,1144,1658
214,161,45056,1087,1853
215,161,47032,1097,1607
216,161,46223,1110,1875
217,160,45816,1072,1583
218,161,47322,1131,1897
219,161,44598,1047,1557
220,161,48043,1155,1865
221,161,43234,1102,1612
222,161,47735,1119,1633
223,161,45460,1095,1863
224,160,46306,1079,1590
225,161,46851,1125,1890
226,161,45091,1055,1565
227,160,48189,1154,1919
228,162,44405,1061,1571
229,161,48951,1169,1920
230,161,43515,1103,1613
231,161,47779,1134,1648
232,160,45229,1090,1855
233,161,46920,1095,1605
234,161,46346,1114,1880
235,161,45725,1070,1580
236,160,47628,1141,1906
237,161,44540,1046,1556
238,161,48760,1164,1931
239,161,43701,1096,1606
240,161,47687,1142,1656
241,160,45104,1088,1854
242,161,46858,1092,1603
243,161,46413,1117,1882
244,160,45782,1071,1581
245,161,47087,1123,1889
246,162,44522,1056,1566
247,160,48694,1168,1914
248,162,43311,1103,1613
249,161,48135,1138,1652
250,160,45272,1093,1858
251,161,46974,1095,1605
252,161,46197,1110,1875
253,160,45765,1070,1580
254,163,47378,1133,1899
255,161,45194,1062,1573
256,161,48220,1151,1917
257,161,44030,1076,1586
258,161,48059,1169,1720
259,161,44001,1092,1642
260,161,47387,1104,1614
261,160,45878,1106,1871
262,161,46220,1080,1590
263,161,47181,1134,1900
264,161,45429,1067,1577
265,161,47917,1146,1911
266,161,44624,1063,1573
267,161,48948,1169,1933
268,161,43582,1101,1611
269,164,47690,1134,1648
270,161,45659,1086,1820
271,161,47100,1097,1607
272,161,46031,1107,1873
273,161,46183,1082,1592
274,161,47709,1151,1916
275,161,46846,1106,1616
276,160,47748,1151,1916
277,161,46200,1087,1597
278,161,47753,1147,1913
279,161,45005,1057,1567
280,160,48451,1158,1923
281,162,43955,1081,1591
282,160,47751,1163,1677
283,161,44561,1085,1728
284,161,47168,1099,1609
285,161,46125,1111,1876
286,161,46213,1081,1591
287,160,47175,1131,1897
288,161,44985,1055,1565
289,161,48350,1156,1922
290,161,44087,1072,1582
291,161,47734,1169,1699
292,161,44258,1096,1663
293,161,47517,1107,1617
294,161,45426,1091,1857
295,161,46104,1078,1588
296,161,47167,1131,1896
297,161,45156,1061,1571
298,161,48129,1148,1913
299,161,43907,1078,1588
300,161,47776,1165,1679
301,161,44650,1095,1717
302,160,47338,1102,1612
303,161,45852,1103,1869
304,161,46119,1077,1587
305,160,47026,1126,1892
306,161,45010,1056,1566
307,161,48423,1159,1924
308,161,44326,1072,1583
309,161,48582,1169,1832
310,161,43240,1095,1605
311,161,47359,1102,1612
312,161,45839,1104,1870
313,160,46344,1083,1593
314,161,46895,1125,1890
315,161,45293,1063,1573
316,160,47965,1146,1912
317,162,44264,1068,1578
318,161,48331,1169,1806
319,161,43130,1085,1595
