sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,3564892,1924,2661
1,3992,2214473,456,479
2,159,81218,18,25
3,158,80262,15,19
4,159,81270,18,19
5,158,80530,15,16
6,158,81653,18,19
7,158,81264,15,15
8,158,80079,18,18
9,158,81213,18,19
10,158,80557,15,16
11,158,81384,18,18
12,158,80532,15,16
13,158,81663,18,18
14,159,80591,15,16
15,158,81571,18,18
16,158,81263,18,18
17,158,80281,15,16
18,158,80965,18,18
19,158,80319,15,15
20,158,81582,18,18
21,158,80283,15,17
22,158,81397,18,18
23,160,80482,15,23
24,158,81576,18,21
25,158,81032,15,16
26,158,80320,18,18
27,159,75113,15,18
28,158,81389,18,25
29,158,80491,15,18
30,158,81543,18,18
31,158,80939,15,16
32,158,80474,18,18
33,158,81047,18,18
34,158,80370,15,16
35,158,81211,18,18
36,158,80372,15,15
37,158,81571,18,20
38,158,80421,15,17
39,158,81429,18,20
40,158,80635,15,19
41,158,81110,18,19
42,158,81261,18,19
43,159,80166,15,17
44,158,81327,18,21
45,158,80568,15,18
46,158,81510,18,20
47,158,80440,15,16
48,158,81575,18,19
49,158,81157,15,16
50,158,80592,18,20
51,158,81054,18,18
52,159,75214,15,15
53,158,80608,15,21
54,158,81469,18,18
55,158,81163,15,15
56,158,80729,18,19
57,159,81110,18,20
58,158,80044,15,15
59,158,81374,18,19
60,158,80239,15,16
61,158,81536,18,18
62,158,80487,15,15
63,158,81392,18,20
64,158,80391,15,17
65,158,81369,18,19
66,158,81268,18,19
67,158,80246,15,15
68,158,81213,18,19
69,158,80323,15,19
70,158,81247,18,20
71,158,80423,15,17
72,159,81611,18,19
73,158,81192,15,17
74,158,80644,18,18
75,158,81161,18,18
76,158,80317,15,16
77,141,69004,15,16
78,158,80313,15,29
79,158,81709,18,18
80,158,81226,15,15
81,158,80170,18,18
82,158,81315,18,18
83,158,80061,15,15
84,158,81230,18,18
85,158,80422,15,15
86,158,81426,18,18
87,158,80507,15,15
88,160,82065,18,29
89,159,80815,15,33
90,158,80288,18,19
91,158,81035,18,19
92,158,80195,15,15
93,158,81308,18,20
94,158,80400,15,15
95,158,81343,18,18
96,158,80627,15,15
97,158,81363,18,18
98,158,80982,15,15
99,158,80424,18,19
100,158,81131,18,20
101,158,80114,15,18
102,158,81278,18,21
103,161,74507,15,21
104,158,80266,15,22
105,159,81494,18,19
106,158,80813,15,15
107,158,81185,18,18
108,158,81089,18,19
109,158,79996,15,15
110,158,81234,18,19
111,158,80469,15,16
112,158,81224,18,20
113,158,80386,15,16
114,159,81561,18,19
115,158,80965,15,23
116,158,81102,18,18
117,158,81360,18,18
118,158,80259,15,15
119,158,81537,18,18
120,158,80482,15,15
121,158,81386,18,20
122,158,80492,15,15
123,158,81418,18,19
124,158,80862,15,16
125,159,80541,18,19
126,158,81056,18,18
127,158,79947,15,15
128,158,75912,15,17
129,158,81403,18,25
130,159,80907,15,15
131,158,81069,18,18
132,158,81038,18,20
133,158,80028,15,16
134,158,81439,18,18
135,158,80608,15,17
136,158,81356,18,19
137,158,80398,15,16
138,158,81527,18,20
139,158,80556,15,15
140,159,81121,18,18
141,158,80974,18,22
142,158,80200,15,16
143,158,80916,18,20
144,158,80372,15,16
145,158,81376,18,20
146,158,80425,15,18
147,158,81136,18,20
148,158,80336,15,17
149,158,81733,18,19
150,159,80981,15,18
151,158,80024,18,20
152,158,81093,18,19
153,134,66150,12,16
154,159,81125,18,26
155,158,80272,15,16
156,158,81402,18,21
157,158,80535,15,19
158,158,81367,18,19
159,159,80738,15,16
160,158,80792,18,18
161,158,81141,18,20
162,158,80049,15,15
163,158,81416,18,19
164,158,80201,15,15
165,158,81488,18,18
166,159,80493,15,16
167,158,81593,18,18
168,158,80755,15,15
169,158,80945,18,19
170,158,81125,18,21
171,158,80321,15,17
172,158,81388,18,19
173,158,80153,15,19
174,158,81367,18,20
175,158,80389,15,17
176,159,81478,18,19
177,158,80943,15,16
178,158,81156,18,19
179,158,80134,15,18
180,158,80281,18,24
181,159,81172,18,19
182,158,80307,15,15
183,158,81298,18,18
184,158,80399,15,17
185,158,81248,18,20
186,158,80370,15,15
187,158,81691,18,18
188,158,81030,15,16
189,158,80610,18,18
190,158,81354,18,19
191,158,80283,15,16
192,158,81335,18,18
193,158,80392,15,15
194,158,81263,18,20
195,158,80703,15,19
196,158,81433,18,21
197,159,81115,15,19
198,158,80476,18,18
199,158,81041,18,19
200,158,80198,15,16
201,158,81298,18,20
202,158,80229,15,17
203,158,81460,18,19
204,158,79359,15,17
205,158,81599,18,22
206,159,80676,15,17
207,158,81312,18,20
208,158,81316,18,18
209,158,80121,15,15
210,158,81139,18,18
211,158,80187,15,16
212,158,81259,18,18
213,158,80394,15,15
214,158,81485,18,19
215,161,80614,15,25
216,158,81121,18,35
217,158,81081,15,16
218,158,80292,18,18
219,158,81057,18,21
220,158,80144,15,15
221,158,81170,18,19
222,158,80592,15,17
223,159,81164,18,22
224,158,80403,15,16
225,158,81537,18,20
226,158,80590,15,16
227,158,80764,18,19
228,158,81218,18,20
229,139,68635,12,15
230,159,81300,18,24
231,158,80444,15,15
232,158,81549,18,19
233,158,81084,17,17
234,158,80347,16,16
235,158,81218,18,19
236,158,80064,15,15
237,158,81241,18,18
238,158,80615,15,17
239,158,81397,18,20
240,159,80577,15,16
241,158,81601,18,18
242,158,81005,15,16
243,158,80138,18,20
244,158,81084,18,20
245,158,80263,15,17
246,158,81074,18,19
247,158,80412,15,17
248,158,81327,18,20
249,158,80425,15,19
250,158,81377,18,22
251,158,80840,15,16
252,158,80904,18,19
253,158,81170,18,19
254,159,80287,15,17
255,158,79875,18,20
256,158,80157,15,23
257,158,81188,18,20
258,159,80157,15,15
259,158,81355,18,18
260,158,80313,15,15
261,158,81566,18,18
262,158,80794,15,15
263,158,81091,18,19
264,159,80847,15,15
265,158,80457,18,18
266,158,81155,18,19
267,158,80431,15,15
268,158,81444,18,20
269,158,80474,15,16
270,158,81742,18,18
271,158,80989,15,16
272,158,80731,18,18
273,158,81186,18,19
274,160,80325,15,15
275,159,81376,18,21
276,158,80489,15,15
277,158,81438,18,19
278,158,80474,15,17
279,158,81434,18,18
280,158,79250,15,15
281,158,81336,18,21
282,158,80900,15,18
283,159,80556,18,18
284,158,81137,18,19
285,158,79956,15,15
286,158,81236,18,18
287,158,80421,15,16
288,158,81271,18,18
289,158,80322,15,16
290,158,81305,18,18
291,158,80580,15,15
292,158,81489,18,18
293,158,81233,18,19
294,158,80249,15,15
295,158,81306,18,20
296,158,80100,15,18
297,158,81417,18,18
298,158,80305,15,15
299,158,81281,18,21
300,159,80345,15,18
301,158,81356,18,21
302,158,81151,15,20
303,158,80251,18,18
304,158,81268,18,22
305,140,69510,12,15
306,159,81433,18,27
307,158,81253,18,19
308,158,80181,15,15
309,158,81251,18,19
310,158,80295,15,15
311,158,81129,18,20
312,158,80214,15,17
313,159,81669,18,21
314,158,80518,15,18
315,158,81898,18,19
316,158,81220,18,19
317,158,80279,15,17
318,158,81353,18,19
319,159,80043,15,18
320,158,81369,18,20
321,158,80572,15,18
322,158,81442,18,18
323,158,81073,15,15
324,159,80875,18,18
325,158,81422,18,19
326,158,80467,15,16
327,158,81199,18,18
328,158,80511,15,16
329,158,81605,18,19
330,159,80625,15,16
331,160,80050,18,20
332,160,34508,6,79
333,158,81280,18,24
334,158,80490,15,15
335,159,81667,18,18
336,158,81026,15,16
337,158,80594,18,19
338,158,80962,18,18
339,159,80037,15,15
340,158,81195,18,18
341,158,80338,15,16
342,158,81373,18,18
343,158,80487,15,15
344,158,81290,18,19
345,158,80565,15,15
346,158,81185,18,18
347,158,81038,18,20
348,158,80037,15,15
349,159,81179,18,19
350,158,80216,15,15
351,158,81366,18,18
352,158,80286,15,15
353,158,81408,18,21
354,158,80473,15,17
355,158,81537,18,18
356,159,78329,15,17
357,158,81375,18,28
358,158,80871,15,16
359,159,80786,18,18
360,158,81174,18,19
361,158,80299,15,16
362,158,81268,18,20
363,158,80068,15,17
364,159,81403,18,18
365,158,80465,15,15
366,158,81555,18,18
367,158,80704,15,15
368,159,80976,18,18
369,158,81219,18,18
370,158,80258,15,16
371,158,81204,18,19
372,158,80348,15,15
373,158,81226,18,19
374,158,80331,15,15
375,158,81690,18,19
376,159,80881,15,15
377,158,81104,18,19
378,158,81215,18,18
379,158,80127,15,15
380,158,81453,18,19
381,133,65277,12,14
382,158,81202,18,24
383,159,80471,15,15
384,158,81333,18,18
385,158,80708,15,16
386,158,81378,18,19
387,158,81322,18,19
388,158,80275,15,15
389,158,81130,18,19
390,158,80467,15,19
391,158,81205,18,20
392,158,80282,15,16
393,158,81303,18,19
394,159,80596,15,16
395,158,81505,18,21
396,158,81421,18,20
397,158,80190,15,19
398,158,81402,18,18
399,158,80221,15,16
400,158,81400,18,18
401,158,80397,15,18
402,158,81490,18,18
403,158,80862,15,16
404,158,80873,18,19
405,158,80809,15,15
406,158,80219,18,21
407,159,79870,15,18
408,158,80227,18,25
409,158,81086,18,19
410,158,80329,15,16
411,158,81390,18,19
412,158,80174,15,15
413,158,81256,18,18
414,158,80303,15,17
415,158,81467,18,22
416,158,80908,15,17
417,158,81017,18,23
418,158,81409,18,20
419,159,80403,15,18
420,158,81242,18,19
421,158,80343,15,15
422,158,81295,18,19
423,158,80706,15,16
424,158,81286,18,19
425,158,80641,15,17
426,158,80800,18,20
427,158,81174,18,21
428,158,80223,15,19
429,158,81133,18,21
430,158,80386,15,19
431,158,81192,18,21
432,159,79556,15,17
433,158,81434,18,22
434,158,80511,15,17
435,158,81374,18,18
436,159,80889,15,15
437,158,80492,18,20
438,158,81186,18,23
439,161,79859,15,21
440,158,81080,18,18
441,158,80355,15,15
442,158,81285,18,18
443,158,80410,15,16
444,160,81447,18,19
445,159,80628,15,22
446,158,81427,18,18
447,158,81370,18,20
448,158,80303,15,15
449,158,81558,18,18
450,159,80390,15,15
451,158,81276,18,20
452,158,80515,15,15
453,158,81791,18,19
454,158,80936,15,16
455,158,80572,18,19
456,161,81549,18,29
457,135,65973,12,30
458,158,81199,18,25
459,158,80325,15,15
460,158,81857,18,19
461,158,80589,15,15
462,158,81415,18,19
463,158,81333,18,18
464,159,80182,15,15
465,158,81257,18,18
466,158,80066,15,16
467,158,81230,18,18
468,158,80192,15,15
469,158,81554,18,20
470,158,80603,15,16
471,158,81528,18,18
472,159,81312,16,16
473,158,80096,17,17
474,158,81226,18,18
475,158,80462,15,17
476,158,81408,18,19
477,159,80326,15,16
478,158,81440,18,18
479,158,80572,15,16
480,158,81380,18,19
481,158,81217,16,19
482,159,80155,17,19
483,158,80026,16,18
484,158,79826,17,21
485,158,81156,18,20
486,158,80014,15,15
487,158,81189,18,18
488,158,80432,15,16
489,158,81744,18,18
490,158,80407,15,16
491,159,81583,18,18
492,158,81383,15,15
493,158,80343,18,19
494,158,80934,18,18
495,158,80350,15,16
496,158,81311,18,20
497,158,80428,15,15
498,158,81284,18,20
499,158,80565,15,15
500,158,81369,18,18
501,158,80944,15,15
502,158,80812,18,21
503,158,81411,18,19
504,158,80234,15,16
505,158,81385,18,18
506,158,80596,15,15
507,158,81423,18,18
508,159,79578,15,15
509,158,81493,18,26
510,158,80768,15,16
511,158,81006,18,18
512,159,81386,18,18
513,158,80034,15,15
514,158,81318,18,19
515,158,80276,15,15
516,158,81303,18,18
517,159,80407,15,16
518,158,81327,18,19
519,158,80972,15,16
520,158,81367,18,22
521,158,81391,18,19
522,158,80174,15,17
523,159,81120,18,18
524,158,80374,15,16
525,158,81403,18,19
526,158,80476,15,17
527,159,81192,18,20
528,158,80836,15,15
529,158,81124,18,18
530,158,81373,18,19
531,158,80522,15,15
532,159,81471,18,19
533,138,69023,12,13
534,158,80708,18,28
535,160,80988,18,24
536,159,80047,15,15
537,158,81315,18,18
538,158,80294,15,15
539,158,81509,18,18
540,158,80379,15,16
541,159,81635,18,21
542,158,80696,15,15
543,158,81211,18,19
544,158,81257,18,23
545,158,80326,15,16
546,158,81461,18,18
547,159,80319,15,16
548,158,81371,18,18
549,158,80467,15,15
550,158,81465,18,18
551,158,80835,15,15
