sample,interval (usec)-bpoison-spectre-600,interval (usec)-erik-spectre-600,interval (usec)-flush-prefetch-spectre-600,interval (usec)-spectre-600,PAPI_TOT_INS-bpoison-spectre,PAPI_TOT_INS-erik-spectre,PAPI_TOT_INS-flush-prefetch-spectre,PAPI_TOT_INS-spectre,PAPI_L3_TCM-bpoison-spectre,PAPI_L3_TCM-erik-spectre,PAPI_L3_TCM-flush-prefetch-spectre,PAPI_L3_TCM-spectre,PAPI_L3_TCA-bpoison-spectre,PAPI_L3_TCA-erik-spectre,PAPI_L3_TCA-flush-prefetch-spectre,PAPI_L3_TCA-spectre,PAPI_BR_MSP-bpoison-spectre,PAPI_BR_MSP-erik-spectre,PAPI_BR_MSP-flush-prefetch-spectre,PAPI_BR_MSP-spectre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,167,166,294,182,2191,642,8196,1451,70,37,289,59,155,60,752,72,136,28,274,56
2,163,162,160,162,76201,76900,0,76138,703,914,0,947,1311,1493,0,1468,846,993,0,966
3,163,162,157,163,3263,348513,0,7693,26,135,0,131,99,302,0,263,73,126,0,125
4,163,162,156,164,1080,401457,0,1089,0,0,0,1,16,1,0,15,0,0,0,0
5,163,158,157,163,38050,229545,0,38277,913,246,0,533,1414,501,0,1055,20,2042,0,29
6,163,129,157,158,44699,65259,0,21263,1101,389,0,338,1611,514,0,593,20,172,0,7
7,162,162,157,162,49720,85470,0,7777,1169,701,0,162,1926,965,0,203,15,236,0,0
8,164,158,156,163,44433,91054,0,55248,1102,647,0,793,1612,766,0,1822,15,162,0,20
9,162,163,157,162,49487,109033,0,54330,1169,804,0,789,1868,880,0,1557,16,149,0,13
10,163,162,157,163,44669,151813,0,53795,1106,1131,0,814,1616,1125,0,1579,13,191,0,10
11,163,163,156,162,49665,151800,0,53881,1169,1135,0,815,1904,1130,0,1580,15,184,0,12
12,163,162,157,162,44530,151510,0,53929,1104,1129,0,817,1614,1125,0,1582,14,179,0,12
13,162,162,157,162,50037,151732,0,53778,1170,1131,0,814,1940,1128,0,1579,17,181,0,12
14,163,162,157,162,44452,151793,0,53422,1101,1135,0,807,1611,1129,0,1571,13,177,0,12
15,162,163,156,163,50075,151826,0,53870,1171,1135,0,815,1942,1130,0,1580,19,178,0,13
16,163,162,157,162,44728,151776,0,54036,1099,1135,0,816,1610,1131,0,1602,13,171,0,13
17,163,162,156,163,42459,151662,0,55048,1016,1135,0,792,1539,1135,0,1593,15,173,0,10
18,162,162,157,162,47526,151455,0,54127,1146,1134,0,804,1912,1134,0,1572,15,172,0,14
19,163,163,157,163,46242,111620,0,53795,1088,636,0,814,1598,766,0,1578,15,187,0,10
20,162,162,157,162,48139,89225,0,54171,1163,781,0,822,1928,871,0,1588,15,117,0,12
21,163,163,156,162,46381,107005,0,54094,1093,673,0,820,1604,768,0,1585,15,140,0,11
22,162,162,157,163,47964,152198,0,64848,1156,1137,0,752,1924,1133,0,1556,16,193,0,820
