sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
0,0,0,0,0,0,0,0
1,171,548,30,49,23,7280,49
2,164,76102,784,1408,997,235584,1408
3,164,4719,53,199,111,95064,199
4,164,1071,0,15,0,82111,15
5,164,31740,780,1043,18,422273,1043
6,164,46933,1129,1894,19,543420,1894
7,164,45977,1079,1589,15,543828,1589
8,164,47905,1152,1917,15,543391,1917
9,163,46237,1092,1602,17,543443,1602
10,164,48475,1170,1935,15,543513,1935
11,164,46340,1094,1605,15,543667,1605
12,164,48182,1161,1926,15,543861,1926
13,163,45272,1063,1573,15,543488,1573
14,164,48365,1158,1923,15,543353,1923
15,164,44701,1062,1572,13,544149,1572
16,164,49087,1175,1940,15,544094,1940
17,165,44248,1091,1601,13,543931,1601
18,163,48279,1169,1725,15,543863,1725
19,165,44158,1101,1638,12,543826,1638
20,164,43487,987,1504,16,497888,1504
21,163,47574,1140,1907,15,542564,1907
22,163,44827,1053,1563,17,542670,1563
23,164,48467,1156,1925,15,542410,1925
24,164,43864,1088,1598,13,542671,1598
25,164,47917,1160,1674,14,542822,1674
26,163,45006,1091,1780,14,542414,1780
27,164,47505,1107,1617,16,542071,1617
28,164,45926,1106,1871,15,542392,1871
29,163,46309,1081,1591,15,542242,1591
30,163,47057,1130,1895,16,542195,1895
31,163,45241,1059,1569,15,542289,1569
32,164,47985,1148,1913,15,542173,1913
33,163,44831,1061,1571,13,542804,1571
34,164,48930,1169,1937,15,542852,1937
35,164,43776,1094,1604,13,542646,1604
36,164,47795,1149,1663,14,542112,1663
37,163,44989,1086,1851,14,542266,1851
38,163,47325,1105,1615,15,541975,1615
39,164,46228,1114,1879,15,542220,1879
40,163,46376,1086,1598,15,542384,1598
41,165,47269,1137,1902,15,547946,1902
42,168,45774,1074,1584,15,543418,1584
43,163,47183,1133,1898,15,543094,1898
44,149,40003,982,1493,11,483281,1493
45,163,47085,1099,1609,15,543533,1609
46,164,46285,1113,1878,15,542671,1878
47,164,46057,1078,1588,16,542720,1588
48,163,47402,1137,1902,16,542325,1902
49,164,45197,1061,1571,15,541895,1571
50,163,48213,1155,1920,15,542280,1920
51,164,44380,1070,1580,13,542764,1580
52,164,49350,1170,1940,16,541969,1940
53,164,43084,1097,1608,12,542085,1608
54,163,47951,1126,1640,15,542166,1640
