sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,
0,0,765,2,80,
1,1068,1168325,2141,3347,
2,1060,1000257,7631,7634,
3,1059,1013734,7478,7486,
4,1073,694403,5124,5663,
5,1060,640325,4578,5181,
6,1060,768775,5479,5849,
7,1060,807097,5994,6333,
8,1059,997975,7657,7659,
9,1060,961280,7146,7407,
10,1060,910047,6765,6957,
11,1059,958283,7166,7288,
12,1503,53651,347,350,
13,1050,891556,6676,6715,
14,1048,984238,7356,7368,
15,1060,964792,7359,7396,
16,1060,954575,7145,7435,
17,1060,1013449,7524,7530,
18,1059,904904,6761,7033,
19,1059,1009382,7630,7631,
20,1059,915781,6723,6911,
21,1060,900238,6765,6968,
22,1062,745649,5442,5661,
23,1060,894837,6774,7148,
24,1060,959515,7188,7322,
25,1059,1021623,7486,7491,
26,2889,399159,3087,3095,
27,1075,734657,5457,5489,
28,1062,856535,6535,6780,
29,1062,810932,6047,6244,
30,1062,910866,6716,6721,
31,1060,962626,7282,7286,
32,1059,1014003,7608,7615,
33,1060,755848,5535,6015,
34,1060,615839,4307,4898,
35,1076,730649,5413,5860,
36,1063,644636,4576,5157,
37,1069,563332,4004,4665,
38,1062,643979,4576,5210,
39,1062,888175,6573,6741,
40,1060,900209,6696,6799,
41,1061,658348,4928,5156,
42,1062,538994,4077,4128,
43,1060,938649,6964,6968,
44,1060,896655,6738,7015,
45,1059,965271,7159,7162,
46,1060,925472,6908,7073,
47,1059,963467,7333,7336,
48,1058,974947,7291,7295,
49,1029,958074,7214,7308,
50,1060,1002644,7482,7559,
51,1059,993078,7225,7303,
52,1059,972003,7154,7240,
53,1060,927488,6899,7126,
54,1059,996054,7502,7547,
55,3443,737727,5488,5545,
56,1061,370542,2817,2870,
57,1061,948795,6933,7197,
58,1059,997431,7649,7653,
59,1059,1017007,7507,7513,
60,1064,1002217,7630,7637,
61,1058,1012831,7588,7603,
62,1060,901423,6709,6978,
63,1060,869214,6337,6621,
64,1059,1003607,7636,7639,
65,1060,1013595,7578,7585,
66,1061,650110,4978,5026,
67,1060,766558,5600,5969,
68,1060,738904,5356,5683,
69,1059,1003135,7603,7608,
70,1243,976428,7361,7367,
71,1060,874588,6425,6733,
72,1059,911680,6856,6859,
73,1059,886808,6733,6876,
74,1059,961040,7156,7163,
75,1060,819036,6005,6304,
76,1059,965176,7187,7193,
77,1060,922970,6927,7026,
78,1059,982779,7307,7320,
79,1059,855063,6405,6706,
80,1059,1012516,7563,7566,
81,2847,756202,5704,5716,
82,1071,551369,4267,4295,
83,1066,934938,6900,7076,
84,1066,915451,6721,6761,
85,1065,925895,6834,6870,
86,1066,987996,7352,7371,
87,1067,999949,7438,7437,
88,1075,872527,6401,6457,
89,1067,879252,6528,6646,
90,1071,911102,6852,6845,
91,1063,737234,5664,5658,
92,1070,711946,5382,5428,
93,1067,819177,6286,6287,
94,1065,816253,6105,6165,
95,1067,850753,6301,6332,
96,1062,735963,5714,5816,
97,1067,668373,4931,5113,
98,1067,765458,5736,5772,
99,1067,813573,6029,6053,
100,1066,837049,6300,6345,
101,1068,815085,5894,5930,
102,1081,857280,6423,6468,
103,1066,758661,5549,5686,
104,1066,920056,7072,7067,
105,1066,962771,7150,7189,
106,1063,1005913,7434,7469,
107,1062,1002923,7430,7448,
108,2001,1845070,13460,13537,
109,1962,1826330,13719,13713,
110,1067,953359,7228,7222,
111,1077,996662,7366,7416,
112,1233,1097212,8150,8294,
113,1064,1025710,7709,7704,
114,1062,1024273,7519,7601,
115,1062,998020,7539,7576,
116,1063,1019935,7505,7523,
117,1061,1015170,7682,7679,
118,1062,1016297,7685,7687,
119,1062,1017618,7713,7710,
120,1065,847668,6317,6436,
121,1063,866544,6394,6411,
122,1062,920634,6938,6955,
123,1063,1015573,7506,7536,
124,1065,852040,6391,6563,
125,1065,895198,6719,6785,
126,1061,940197,7068,7068,
127,1062,958312,7190,7212,
128,1061,975923,7239,7239,
129,1062,963854,7125,7159,
130,1064,980109,7319,7324,
131,1061,981364,7404,7402,
132,1062,1013080,7685,7683,
133,1061,1022659,7675,7675,
134,1073,1041960,7597,7637,
135,2740,2623482,19533,19538,
136,1065,975073,7243,7244,
137,1061,995931,7596,7591,
138,1063,926115,6864,7045,
139,1064,1025901,7622,7628,
140,1062,1023223,7642,7638,
141,1063,1029317,7549,7580,
142,1061,1020009,7690,7688,
143,1061,1039851,7725,7723,
144,1062,1019148,7685,7680,
145,1061,1015110,7684,7682,
146,1065,895415,6833,6832,
147,1063,866829,6557,6557,
148,1068,933441,6868,6892,
149,1063,1029213,7652,7655,
150,1062,1029319,7620,7622,
151,1064,957378,7134,7130,
152,1063,925890,6864,6868,
153,1062,951548,7017,7015,
154,1063,964024,7251,7250,
155,1065,975615,7199,7213,
156,1062,983236,7191,7194,
157,1064,976629,7344,7345,
158,1064,986459,7355,7356,
159,1063,1045039,7507,7515,
160,1062,1017488,7667,7664,
161,1062,1019212,7693,7692,
162,1065,1022751,7699,7698,
163,1066,1024952,7706,7706,
164,1067,1008622,7499,7498,
165,1065,970068,7250,7264,
166,1063,1017687,7504,7514,
167,1062,1018670,7688,7687,
168,1062,1020104,7689,7687,
169,1062,1020099,7695,7694,
170,1066,1020421,7698,7698,
171,1062,1024195,7701,7699,
172,1063,1023497,7698,7698,
173,1062,1017989,7712,7712,
174,1275,1242177,9190,9190,
175,1064,840921,6419,6414,
176,1062,871274,6528,6524,
177,1063,988549,7278,7306,
178,1064,1019406,7674,7688,
179,1063,1017414,7650,7650,
180,1061,928293,6909,6905,
181,1064,932159,6874,6890,
182,1061,954289,7211,7205,
183,1062,967388,7251,7250,
184,1063,985315,7174,7172,
185,1076,985086,7417,7416,
186,1066,889856,6823,6881,
187,1061,990373,7422,7448,
188,1020,975741,7408,7433,
189,1062,1021263,7693,7693,
190,1066,1046202,7718,7718,
191,1064,1013161,7680,7859,
192,1066,1007614,7419,7430,
193,1066,907641,6667,6696,
194,1063,1002927,7523,7690,
195,1062,1032089,7607,7606,
196,1063,1024688,7595,7606,
197,1062,1016932,7684,7682,
198,1063,1023345,7696,7694,
199,1062,1020060,7709,7709,
200,1062,1018126,7686,7687,
201,1064,1025244,7700,7694,
202,1253,1211671,9068,9068,
203,1064,849454,6325,6345,
204,1062,869223,6457,6452,
205,1063,992721,7273,7288,
206,1062,1031170,7752,7750,
207,1064,1008120,7629,7624,
208,1061,929160,6943,6941,
209,1061,916344,6968,6963,
210,1062,962669,7154,7168,
211,1062,981860,7223,7222,
212,1063,976450,7242,7253,
213,1085,997807,7500,7499,
214,1062,997910,7331,7334,
215,1063,989457,7466,7461,
216,1062,978143,7173,7199,
217,1065,1025472,7706,7700,
218,1064,1024729,7707,7703,
219,1066,1025408,7725,7719,
220,1245,1186712,8815,8969,
221,1066,982163,7352,7356,
222,1063,1014091,7530,7531,
223,1063,1028650,7601,7611,
224,1062,1019503,7699,7697,
225,1063,1023867,7660,7666,
226,1063,1027318,7646,7641,
227,1062,1034908,7576,7584,
228,1062,1023761,7631,7632,
229,1063,1022535,7685,7683,
230,1066,1021267,7701,7699,
231,1065,892355,6572,6579,
232,1062,871471,6545,6543,
233,1065,938292,6986,6988,
234,1062,1024112,7689,7683,
235,1287,1241922,9292,9286,
236,1063,936034,6894,6910,
237,1063,926281,6975,6982,
238,1063,961622,7115,7112,
239,1063,979283,7231,7228,
240,1060,964303,7367,7366,
241,1119,1036433,7577,7584,
242,1063,993726,7305,7310,
243,1062,993470,7392,7393,
244,1062,1012095,7681,7683,
245,1062,1022179,7663,7678,
246,1062,1029064,7655,7649,
247,1064,1036236,7536,7542,
248,1067,1023149,7648,7655,
249,1269,1198182,9037,9039,
250,1065,981739,7198,7198,
251,1064,1014330,7527,7528,
252,1063,1028180,7782,7777,
253,1063,1034196,7585,7594,
254,1062,1028476,7658,7656,
255,1063,1021452,7631,7628,
256,1062,1021490,7687,7685,
257,1062,1021381,7708,7706,
258,1062,1023048,7713,7711,
259,1063,1025655,7610,7624,
260,1066,890216,6649,6643,
261,1063,867479,6529,6535,
262,1063,939049,6884,6894,
263,1065,1022431,7632,7660,
264,1064,1036521,7605,7607,
265,1064,958158,7087,7083,
266,1061,919614,6950,6945,
267,1063,957170,7016,7017,
268,1061,973632,7336,7332,
269,1062,976268,7229,7235,
270,1061,967536,7309,7304,
271,1065,991162,7375,7379,
272,1062,991904,7370,7366,
273,1062,1030694,7541,7539,
274,1062,1019756,7647,7641,
275,1062,1019153,7677,7676,
276,1065,1030452,7694,7692,
277,1065,1029606,7692,7689,
278,1066,1011600,7512,7512,
279,1066,898458,6756,6786,
280,1066,1006795,7683,7681,
281,1063,1026631,7701,7701,
282,1062,1016932,7702,7703,
283,1063,1032767,7711,7708,
284,1061,1025315,7717,7716,
285,1063,1021209,7713,7711,
286,1061,1017674,7718,7718,
287,1062,971776,7166,7205,
288,1181,1134263,8566,8561,
289,1064,839398,6316,6315,
290,1062,867032,6517,6511,
291,1062,969769,7383,7381,
292,1062,1023061,7694,7693,
293,1064,1015465,7645,7646,
294,1064,889878,6632,6648,
295,1064,925490,6961,6960,
296,1065,949828,7169,7164,
297,1063,964463,7242,7412,
298,1063,993473,7207,7223,
299,1064,991702,7401,7421,
300,1062,989504,7386,7407,
301,1059,894349,6809,6828,
302,1062,973654,7245,7288,
303,1062,1024023,7691,7686,
304,1065,1023257,7661,7658,
305,1067,1024403,7698,7694,
306,1066,991900,7374,7575,
307,1065,976251,7397,7396,
308,1064,1009628,7640,7639,
309,1063,968648,7196,7365,
310,1069,1031505,7698,7715,
311,1065,1027387,7689,7689,
312,1067,1016131,7459,7459,
313,1065,1005176,7657,7651,
314,1066,1022816,7671,7671,
315,1030,990872,7405,7399,
316,1169,1095203,8053,8049,
317,1067,571195,4338,4381,
318,1064,840726,6419,6414,
319,1065,975803,7186,7193,
320,1064,1003366,7669,7691,
321,1064,1011352,7546,7572,
322,1065,913610,6924,6938,
323,1064,910120,6822,6817,
324,1064,949700,7135,7172,
325,1066,957936,7123,7129,
326,1064,974845,7249,7252,
327,1065,965969,7169,7175,
328,1165,1077971,7994,7991,
329,1064,994452,7434,7434,
330,1064,1034800,7560,7574,
331,1064,1014857,7660,7655,
332,2006,1829893,13736,13907,
333,1512,1430909,10661,10666,
334,1066,963437,7111,7145,
335,1083,1015936,7547,7571,
336,1064,1021685,7607,7601,
337,1065,1006883,7600,7595,
338,1064,1009039,7669,7667,
339,1087,1040105,7612,7625,
340,1064,1006844,7535,7535,
