sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,807,3,71
1,1069,368459,1033,1829
2,1061,579328,120,125
3,1062,589000,120,120
4,1061,589751,123,123
5,1061,588944,120,120
6,1061,583517,120,122
7,1061,589456,123,123
8,1061,589064,120,120
9,1062,585267,120,120
10,1061,589581,123,123
11,1061,588446,120,120
12,1061,589403,123,123
13,1062,583988,120,122
14,1061,588831,120,120
15,1061,589298,120,120
16,1061,589119,120,121
17,1061,584681,120,123
18,1062,589671,120,120
19,1061,588866,120,120
20,1061,588396,120,120
21,1062,583746,120,121
22,1061,589407,123,123
23,1061,588783,120,120
24,1064,587887,123,123
25,1061,588652,120,121
26,1061,590207,120,120
27,1061,588669,120,120
28,1061,584524,120,120
29,1062,589120,120,120
30,1061,589095,122,120
31,1061,588769,120,120
32,1061,589210,123,123
33,1061,589259,120,120
34,1061,589399,123,123
35,1061,589203,120,120
36,1062,589171,120,120
37,1061,589609,120,120
38,1061,589162,120,120
39,1061,588881,123,123
40,1061,588702,120,120
41,1061,589274,123,123
42,1062,589090,120,120
43,1061,588434,120,120
44,1061,588825,120,120
45,1061,588971,120,120
46,1061,588973,123,123
47,1062,588261,120,120
48,1061,589781,123,123
49,1061,589592,120,120
50,1061,589857,123,123
51,1061,588277,120,120
52,1061,589092,120,120
53,1062,589356,123,123
54,1061,589665,120,120
55,1061,588432,123,123
56,1061,588800,120,120
57,1061,589762,123,123
58,1061,588308,120,120
59,1062,589669,120,120
60,1061,589581,123,123
61,1061,588983,120,125
62,1061,588221,123,124
63,1062,588834,120,120
64,1061,589633,123,124
65,1061,589558,120,120
66,1061,588525,120,121
67,1061,589899,123,123
68,1061,588960,120,120
69,1061,589445,123,123
70,1062,587656,120,120
71,1061,589408,123,123
72,1061,588702,120,120
73,1063,590457,120,120
74,1063,590021,120,120
75,1063,590625,120,120
76,1062,589527,120,120
77,1062,589195,120,120
78,1063,589663,123,123
79,1062,589720,120,120
80,1062,589567,123,123
81,1062,588888,120,120
82,1062,590314,123,123
83,1062,589558,120,120
84,1065,590501,123,123
85,1062,589038,120,122
86,1062,589784,123,123
87,1062,589872,120,120
88,1062,590026,123,123
89,1062,588283,120,121
90,1062,589949,123,123
91,1062,589687,120,120
92,1063,588559,120,121
93,1061,589901,123,120
94,1063,589217,120,120
95,1062,589612,123,123
96,1062,589184,120,120
97,1062,590254,123,123
98,1062,589426,120,120
99,1062,590225,123,123
