sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
0,0,0,0,0,0,0,0
1,172,1233,64,115,69,15185,115
2,165,78107,906,1534,1122,201859,1534
3,163,90763,475,995,2484,216255,995
4,165,64940,282,657,728,164655,657
5,164,341276,308,972,2321,378139,972
6,164,154423,461,1010,1061,262220,1010
7,165,10602,201,402,219,43639,402
8,164,0,0,0,0,0,0
9,164,0,0,0,0,0,0
10,166,0,0,0,0,0,0
11,164,0,0,0,0,0,0
12,168,0,0,0,0,0,0
13,167,0,0,0,0,0,0
14,165,0,0,0,0,0,0
15,166,0,0,0,0,0,0
16,166,0,0,0,0,0,0
17,165,0,0,0,0,0,0
18,165,0,0,0,0,0,0
19,167,0,0,0,0,0,0
20,166,0,0,0,0,0,0
21,154,0,0,0,0,0,0
22,167,0,0,0,0,0,0
23,165,0,0,0,0,0,0
24,165,0,0,0,0,0,0
25,164,0,0,0,0,0,0
26,164,0,0,0,0,0,0
27,165,0,0,0,0,0,0
28,165,0,0,0,0,0,0
29,166,0,0,0,0,0,0
30,164,0,0,0,0,0,0
31,168,0,0,0,0,0,0
32,166,0,0,0,0,0,0
33,166,0,0,0,0,0,0
34,167,0,0,0,0,0,0
35,166,0,0,0,0,0,0
36,166,0,0,0,0,0,0
37,166,0,0,0,0,0,0
38,166,0,0,0,0,0,0
39,166,0,0,0,0,0,0
40,165,34525,1106,1173,537,154768,1173
41,164,459990,530,736,4259,414415,736
42,166,436704,256,392,1360,384750,392
43,165,196495,627,932,975,291095,932
44,164,383700,623,1024,1517,440401,1024
45,165,341584,368,893,1513,416085,893
46,164,298040,211,1057,1239,354481,1057
47,164,360543,212,839,1623,419132,839
48,164,437575,146,1029,2074,464141,1029
49,164,394795,191,1113,2084,447568,1113
50,164,404833,154,1018,1749,439691,1018
51,164,273457,606,2282,1357,375949,2282
52,164,952,54,192,32,10474,192
53,164,282134,50,221,889,271234,221
54,164,298554,13,21,867,272619,21
55,163,553675,445,1271,1556,480368,1271
56,164,755138,220,228,840,524164,228
57,163,561337,142,550,2436,438292,550
58,164,449139,533,1422,3819,469783,1422
59,164,458557,310,737,3644,522808,737
60,164,585661,36,105,4397,539059,105
61,163,599920,13,59,4710,543184,59
62,164,502726,185,844,2872,513756,844
63,164,273522,918,3412,2725,456383,3412
64,163,403271,160,1038,2223,500190,1038
65,164,272572,696,2949,2417,463590,2949
66,164,353623,150,1955,2550,499134,1955
67,164,384900,54,1639,2416,508852,1639
68,164,412821,72,1160,1892,502402,1160
69,164,382034,181,2401,2459,510579,2401
70,165,325678,46,2654,1796,444419,2654
71,167,383646,44,1862,1994,516293,1862
72,164,380321,34,1517,1904,523728,1517
73,164,388194,44,1186,2066,515150,1186
74,164,389307,43,1021,1934,508743,1021
75,164,408309,33,878,2018,522056,878
76,163,396902,26,931,1892,499376,931
77,164,406267,36,1006,1920,518703,1006
78,164,408028,37,1208,2190,490709,1208
79,163,435135,34,829,1955,518095,829
80,164,424294,37,992,1951,504761,992
81,164,412349,32,1088,1991,505242,1088
