sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,808,1,61
1,1063,824,4,74
2,1058,0,0,0
3,1057,0,0,0
4,1058,0,0,0
5,1057,0,0,0
6,1057,0,0,0
7,1057,0,0,0
8,1058,0,0,0
9,1057,0,0,0
10,1057,0,0,0
11,1057,0,0,0
12,1057,0,0,0
13,1057,0,0,0
14,1058,0,0,0
15,1057,0,0,0
16,1057,0,0,0
17,1057,0,0,0
18,1058,0,0,0
19,1057,0,0,0
20,1057,0,0,0
21,1057,0,0,0
22,1057,0,0,0
23,1057,0,0,0
24,1058,0,0,0
25,1057,0,0,0
26,1057,0,0,0
27,1057,0,0,0
28,1057,0,0,0
29,1057,0,0,0
30,1058,0,0,0
31,1057,0,0,0
32,1058,0,0,0
33,1057,0,0,0
34,1057,0,0,0
35,1057,0,0,0
36,1057,0,0,0
37,1058,0,0,0
38,1058,106359,532,2065
39,1057,0,0,0
40,1057,0,0,0
41,1058,119,10,48
42,1057,0,0,0
43,1057,0,0,0
44,1057,0,0,0
45,1057,0,0,0
46,1057,0,0,0
47,1058,7,4,14
48,1030,0,0,0
49,1057,0,0,0
50,1057,0,0,0
51,1057,61569,78,606
52,1058,268,7,74
53,1057,0,0,0
54,1058,0,0,0
55,1057,0,0,0
56,1057,0,0,0
57,1057,0,0,0
58,1058,260,4,85
59,1057,0,0,0
60,1057,0,0,0
61,1057,0,0,0
62,1057,0,0,0
63,1057,0,0,0
64,1058,1040,29,138
65,1058,3389,50,273
66,1057,49785,280,1090
67,1058,0,0,0
68,1057,0,0,0
69,1057,7406,124,579
70,1057,0,0,0
71,1058,0,0,0
72,1057,0,0,0
73,1057,0,0,0
74,1057,0,0,0
75,1057,0,0,0
76,1058,0,0,0
77,1057,0,0,0
78,1057,0,0,0
79,1057,0,0,0
80,1057,0,0,0
81,1057,0,0,0
82,1057,0,0,0
83,1058,5518,31,205
84,1060,0,0,0
85,1057,0,0,0
86,1057,0,0,0
87,1057,0,0,0
88,1057,0,0,0
89,1058,14989,140,573
90,1057,0,0,0
91,1057,0,0,0
92,1058,0,0,0
93,1057,0,0,0
94,1057,490000,602,1918
95,1058,0,0,0
96,1057,0,0,0
97,1057,1222820,353,2773
98,1063,1210560,3,211
99,1061,4335266,0,265
100,1062,4809395,0,221
101,1062,4873823,1,169
102,1061,4801652,0,194
103,1061,4804968,0,226
104,1062,4936880,0,81
105,1062,4746390,2,301
106,1062,4941738,0,104
107,1061,4793407,0,254
108,1062,4937877,0,82
109,1061,4742109,0,275
110,1062,4805502,1,167
111,1061,4936401,0,142
112,1062,4792927,0,209
113,1061,4873087,0,216
114,1062,4804726,0,171
115,1062,4935549,0,93
116,1061,4810840,0,236
117,1062,4871859,1,190
118,1061,4805267,0,166
119,1061,4800082,2,191
120,1062,4881985,0,221
121,1062,4796963,0,186
122,1061,4930405,0,65
123,1062,4806813,0,225
124,1061,4927558,0,159
125,1062,4798415,0,144
126,1061,4813216,0,167
127,1062,4929738,0,116
128,1061,4779177,0,267
129,1062,4939667,0,88
130,1061,4818388,1,245
131,1062,4926134,1,125
132,1062,4790716,0,260
133,1062,4918997,0,112
134,1062,4828221,0,170
135,1062,4788490,0,202
136,1061,4935944,0,101
137,1061,4790581,3,226
138,1062,4908211,1,88
139,1062,4797909,1,255
140,1061,4919752,1,94
141,1062,4814129,1,220
142,1061,4803396,0,190
143,1062,4927285,0,161
144,1062,4802402,1,200
145,1061,4942541,0,106
146,1062,4797965,0,204
147,1062,4925430,0,158
148,1061,4807272,0,192
149,1062,4943213,1,120
150,1062,4782641,3,221
151,1061,4804585,0,193
152,1062,4938195,1,96
153,1061,4802853,2,225
154,1062,4920016,0,191
155,1061,4789972,0,178
156,1062,4936911,0,92
157,1061,4804545,1,199
158,1062,4778763,0,233
159,1061,4934143,0,84
160,1062,4801736,2,230
161,1061,4941013,0,90
162,1062,4790179,4,243
163,1062,4894777,0,113
164,1061,4798516,1,180
165,1066,4873121,0,99
166,1063,4889289,1,222
167,1063,4822627,0,209
168,1062,4939691,0,104
169,1062,4788509,4,242
170,1063,4932770,0,100
171,1062,4809860,0,190
172,1062,4934586,0,104
173,1067,4814544,0,251
174,1062,4822514,1,196
175,1063,4926191,0,87
176,1062,4826770,1,207
177,1063,4909018,2,155
178,1062,4808699,1,223
179,1062,4949029,0,106
180,1062,4794664,0,187
181,1063,4820532,0,172
182,1062,4914959,0,132
183,1063,4811934,1,211
184,1063,4911750,0,172
185,1062,4799634,1,206
186,1063,4940092,0,112
187,1062,4804106,1,187
188,1062,4918055,2,152
189,1063,4819996,2,171
190,1062,4812244,1,199
191,1062,4920205,1,102
192,1062,4796186,1,216
193,1063,4940314,0,85
194,1062,4805078,0,207
195,1062,4932932,0,99
196,1063,4801075,0,212
197,1062,4831336,1,182
198,1063,4917938,0,75
199,1062,4795927,1,240
200,1063,4936683,0,95
201,1062,4801270,1,223
202,1062,4923214,0,94
203,1063,4790010,1,269
204,1062,4827777,3,97
205,1063,4906228,7,176
206,1063,4822879,5,193
207,1063,4910363,7,165
208,1062,4802882,6,231
209,1062,4931087,5,99
210,1062,4788275,6,205
211,1063,4910945,6,162
212,1058,384418,0,20
213,1059,538753,34,272
214,1058,0,0,0
215,1057,0,0,0
216,1061,1551302,2,196
217,1061,4885998,5,201
218,1060,4892625,17,277
219,1063,464046,2412,5102
220,1067,962162,1428,12749
221,1068,895878,7477,19708
222,1067,885507,8642,20550
223,1066,897513,8491,20446
224,1066,905389,8634,20648
225,1066,900682,8558,20610
226,1064,889923,8457,20332
227,1065,903756,8676,20694
228,1065,897848,8511,20415
229,1065,1798767,5744,13330
230,1061,5222826,488,3469
231,1059,5381402,1,2775
232,1060,5385154,2,2772
233,1060,5368418,4,2516
234,1060,5387009,2,2010
235,1060,5390273,1,1926
236,1060,5389703,2,1904
237,1060,5415458,2,1992
238,1060,5463902,0,1926
239,1060,5461615,0,2035
240,1060,5383401,2,2110
241,1060,5363706,1,2221
242,1060,5382631,0,1968
243,1060,5384358,1,2081
244,1060,5388449,1,1942
245,1060,5502441,0,1873
246,1060,5517463,1,1247
247,1060,5518563,2,1290
248,1060,5495123,1,1896
249,1060,5513953,0,1614
250,1060,5508980,0,1583
251,1060,5512563,0,1680
252,1060,5363322,1,2307
253,1060,5388931,2,2127
254,1062,5389568,2,2258
255,1060,5383612,1,2342
256,1060,5368650,2,2821
257,1060,5504563,2,2292
258,1060,5506717,2,2520
259,1059,5378914,1,2350
260,1060,5445838,2,2925
261,1060,5465115,2,2395
262,1060,5461068,1,2418
263,1060,5441163,2,2390
264,1060,5460116,2,2280
265,1059,5455135,2,2243
266,1060,5460664,1,2233
267,1060,5422013,0,2570
268,1060,5384522,0,2083
269,1060,5383596,0,2077
270,1059,5382842,0,1988
271,1060,5371493,0,2146
272,1060,5383526,0,1982
273,1059,5387985,0,1798
274,1060,5389590,0,1517
275,1061,5372749,0,1865
276,1060,5514098,0,1745
277,1059,5515194,0,1577
278,1060,5511478,0,1946
279,1061,5303898,50,17174
280,1060,5505147,0,2825
281,1060,5513855,2,2526
282,1060,5502073,0,2861
283,1060,5515122,1,2290
284,1060,5512967,3,2181
