sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,806,1,68
1,1065,824,6,70
2,1057,0,0,0
3,1058,0,0,0
4,1057,0,0,0
5,1056,0,0,0
6,1057,0,0,0
7,1057,0,0,0
8,1057,0,0,0
9,1057,0,0,0
10,1057,0,0,0
11,1059,0,0,0
12,1058,0,0,0
13,1058,0,0,0
14,1058,0,0,0
15,1058,0,0,0
16,1058,0,0,0
17,1071,172962,729,2830
18,1062,285014,9,461
19,1064,410673,6,101
20,1063,409018,1,100
21,1063,407425,5,89
22,1064,399163,2,105
23,1063,407958,2,107
24,1063,408838,1,90
25,1063,408417,1,91
26,1063,401292,1,86
27,1063,355964,1,101
28,1062,408627,0,86
29,1061,397296,1,97
30,1061,409290,0,96
31,1063,407960,1,85
32,1062,409156,1,100
33,1061,322772,1,97
34,1063,406627,2,101
35,1062,409288,2,97
36,1063,406626,0,82
37,1063,399299,0,90
38,1061,410263,1,97
39,1061,408360,1,97
40,1063,409925,1,95
41,1065,397293,1,109
42,1063,162150,6,62
43,1062,409122,1,92
44,1061,398986,0,110
45,1062,408941,0,93
46,1062,409959,3,106
47,1062,409407,0,100
48,1061,399174,6,111
49,1060,407298,1,95
50,1066,409288,1,105
51,1063,405965,2,97
52,1063,269350,3,99
53,1062,409253,0,92
54,1062,409290,3,103
55,1062,410241,2,103
56,1062,399380,1,102
57,1062,408928,3,102
58,1062,406473,3,101
59,1240,363451,3,91
60,1063,400428,2,104
61,1148,390826,0,95
62,1062,405294,4,103
63,1061,401205,0,107
64,1061,408716,0,88
65,1063,407959,2,84
66,1063,407295,0,93
67,1063,403958,0,97
68,1063,409959,2,96
69,1061,408625,4,97
70,1062,382624,0,110
71,1062,405965,0,94
72,1063,409959,1,97
73,1062,405959,0,100
74,1061,404622,1,96
75,1062,407298,2,96
76,1061,409840,2,100
77,1064,376749,0,99
78,1061,405295,0,110
79,1061,409959,1,96
80,1061,408627,2,87
81,1063,408619,0,98
82,1063,406922,1,114
83,1062,409665,2,104
84,1064,406626,1,103
85,1063,408286,1,93
86,1064,404967,1,110
87,1063,405298,2,98
88,1062,408731,2,99
89,1062,406521,1,106
90,1062,407296,0,86
91,1062,405241,1,110
92,1061,383953,1,103
93,1064,405355,0,92
94,1062,406626,0,97
95,1062,409292,0,77
96,1062,408625,1,99
97,1062,406092,0,89
98,1063,406490,0,98
99,1062,407375,0,101
100,1063,407218,2,103
101,1062,403768,3,116
102,1063,408145,2,94
103,1063,411299,0,94
104,1062,405958,1,95
105,1062,405127,99,141
106,1061,407966,22,99
107,1063,407291,0,83
108,1062,401959,2,103
109,1061,407296,0,101
110,1062,408831,1,100
111,1063,411088,2,102
112,1062,401953,0,96
113,1061,406627,1,89
114,1062,408631,0,96
115,1063,407293,2,107
116,1062,406626,0,81
117,1062,409830,0,82
118,1064,410089,1,88
119,1049,397288,0,106
120,1061,408631,2,100
121,1063,407294,1,101
122,1062,406627,1,97
123,1062,406377,0,107
124,1062,408209,1,98
125,1062,409959,0,99
126,1063,405955,0,90
127,1062,406627,4,107
128,1062,407297,1,82
129,1063,406626,1,79
130,1062,409288,2,97
131,1062,405966,1,108
132,1061,409424,2,82
133,1063,405161,4,101
134,1062,407295,1,99
135,1063,405898,2,95
136,1061,406016,1,95
137,1063,408405,1,93
138,1064,406188,3,96
139,1063,410624,1,94
140,1062,406626,0,93
141,1062,406955,1,103
142,1062,406300,2,110
143,1062,406626,0,96
144,1062,408625,2,83
145,1062,409204,0,88
146,1062,404721,1,95
147,1063,405285,0,99
148,1062,409959,2,103
149,1064,407966,1,102
150,1064,402624,0,98
151,1062,411293,2,95
152,1062,408625,1,95
153,1062,405956,3,106
154,1062,406626,0,98
155,1063,405965,0,84
156,1063,409292,2,97
157,1063,402628,1,98
158,1062,410624,1,86
159,1062,408625,1,93
160,1064,408627,1,97
161,1062,400622,2,99
162,1062,408631,2,101
163,1062,408625,2,85
164,1062,406626,1,92
165,1063,404628,0,98
166,1062,409294,1,98
167,1062,409959,1,104
168,1062,401205,0,117
169,1061,407603,0,92
170,1062,408405,1,94
171,1062,406626,0,94
172,1062,407293,1,102
173,1063,409583,0,84
174,1062,410178,0,95
175,1062,404784,2,94
176,1062,405294,0,114
177,1061,409300,2,88
178,1062,404381,0,99
179,1063,408200,0,101
180,1062,406626,0,108
181,1061,409290,1,85
182,1063,406626,1,103
183,1072,408628,1,96
184,1070,415958,2,113
185,1066,415440,0,67
186,1070,415961,6,76
187,1067,380632,2,109
188,1068,417298,3,79
189,1070,413959,4,86
190,1068,410001,9,94
191,1065,1684546,387,471
192,1061,3507306,249,263
193,1063,3290592,4537,4692
194,1065,3042470,8143,8449
195,1065,3037605,9090,9487
196,1065,2994546,8599,8950
197,1063,3171782,7255,7520
198,1069,3344189,3025,3159
199,1062,3629996,0,8
200,1063,3546319,0,34
201,1061,3553734,0,31
202,1063,3618509,0,12
203,1062,3546755,0,26
204,1062,3629773,0,1
205,1058,38669,0,0
206,1058,0,0,0
207,1058,0,0,0
208,1063,293250,8,68
209,1062,3631603,0,1
210,1062,3581180,1,26
211,1062,3631867,0,2
212,1063,3567254,205,323
213,1062,3572920,819,834
214,1063,3248816,6019,6227
215,1063,3114423,8746,9075
216,1063,3069060,9597,9925
217,1064,3090386,8606,8893
218,1063,3257306,6267,6455
219,1062,3549416,1075,1097
220,1061,3628551,0,1
221,1062,3615702,1,18
222,1062,3625379,0,0
223,1061,3631427,0,2
224,1062,3419991,8,85
225,1062,3616584,0,12
226,1061,3624976,0,0
227,1061,3632170,0,2
228,1062,3632164,0,1
229,1067,3216383,30378,34352
230,1066,4024373,18719,20486
231,1075,3712503,23397,26087
232,1072,2624223,38412,43537
233,1066,4012765,18715,20442
234,1065,4000420,18707,20440
235,1090,2917547,29910,51678
236,1072,3759287,11185,33014
237,1080,3770771,10344,31617
238,1079,3760201,10654,32486
239,1081,3783488,11215,33841
240,1078,3731032,11947,34926
241,1082,3748810,11890,35535
242,1073,3443917,11778,33937
243,1080,3718719,12056,35768
244,1078,3690960,12142,35493
245,1077,3735815,11641,34872
246,1080,3770333,11523,34313
247,1073,3722068,11099,32621
248,1078,3777175,10286,31628
249,1079,3793615,10296,31343
250,1080,3797570,10332,31588
251,1074,3744336,10380,31125
252,1079,3796210,10184,31354
253,1080,3796898,10359,31518
254,1088,3796635,10192,31510
255,1077,3746712,10477,31237
256,1080,3775791,10148,31240
257,1078,3797697,10289,31489
258,1073,3734397,10535,31249
259,1079,3784340,10336,31508
260,1076,3483790,9638,28965
261,1080,3758230,10128,30884
262,1074,3724672,10437,30944
263,1078,3768562,10062,31091
264,1079,3774763,10253,31317
265,1079,3796217,10384,31784
266,1076,3732510,10506,31240
267,1083,3760206,12943,37663
268,1088,1888775,17725,71260
269,1084,3518663,8040,30530
270,1079,3546440,7336,26292
271,1077,3526365,7368,25889
272,1082,3550651,7444,26608
273,1074,3501080,7507,26692
274,1072,3532143,7630,25786
275,1082,3553516,7185,25871
276,1078,3583448,7261,26407
277,1078,3507771,7656,27487
278,1068,3240602,7041,26343
279,1077,3494763,7560,27707
280,1074,3471055,7674,28546
281,1076,3439924,7717,28565
282,1077,3454012,7583,29080
283,1078,3454220,7781,29418
284,1073,3397428,7891,29735
285,1079,3429749,7920,29617
286,1079,3420649,7760,30811
287,1083,3426328,7865,30803
288,1076,3360428,7895,30674
289,1080,3385407,7841,31331
290,1077,3385085,7964,30998
291,1243,3816483,9565,38148
292,1078,3316774,9180,31328
293,1079,3351702,8077,31580
294,1080,3367978,7900,31833
295,1074,3307691,8131,32097
296,1074,3087128,7485,30260
297,1080,3327304,8072,32016
298,1080,3333507,8313,32310
299,1076,3292685,8411,31812
300,1078,3326712,7857,32455
301,1083,3312822,8309,33382
302,1078,3351866,8449,32269
303,1077,3312397,7979,31607
304,1082,3351076,8090,31714
305,1081,3367065,7916,31562
306,1045,3216535,7744,30107
307,1078,3377042,8056,31080
308,1080,3372869,7814,31759
309,1089,3334367,8147,32360
310,1071,3275785,8169,31627
311,1086,3368456,7833,31670
312,1076,3387320,7907,30703
313,1079,3429905,7819,30076
314,1078,3429712,7783,28966
315,1076,3228654,7311,26505
316,1080,3438956,7613,28418
317,1089,3491083,7808,29100
318,1077,3452060,7538,28492
319,1073,3466606,7538,27430
320,1075,3538483,7595,26902
321,1072,3483939,7498,27217
322,1077,3538731,7467,27250
323,1079,3541702,7412,27168
324,1079,3542378,7300,26523
325,1073,3505736,6996,26433
326,1072,3509520,7186,26854
327,1075,3529369,7381,27354
328,1078,3545784,7397,27057
329,1075,3531955,7392,26580
330,1078,3538245,7355,26631
331,1078,3540867,7189,27138
332,1052,3424322,7122,26841
333,1073,3291595,6946,24812
334,1076,3522373,7327,26669
335,1079,3537186,7531,26919
336,1074,3492034,7377,27335
337,1076,3528477,7509,27056
338,1079,3539938,7128,27037
339,1078,3549372,7271,26538
340,1076,3509537,7433,27083
341,1072,3501162,7447,26963
342,1078,3543945,7478,27086
343,1078,3544722,7465,26915
344,1077,3521629,7399,26369
345,1079,3536622,7462,26287
346,1078,3547630,7406,26330
347,1073,3498091,7156,26487
348,1079,3570858,7159,25979
349,1082,3542437,7279,27308
350,1081,3552480,7302,27338
351,1071,3226978,6874,25424
352,1079,3534994,7472,26910
353,1077,3518384,7451,27365
354,1078,3547462,7421,27467
355,1077,3509028,7477,26839
356,1080,3548336,7457,26945
357,1080,3538427,7239,26783
358,1097,3579777,7494,27023
359,1074,3532504,7418,26740
360,1076,3535485,7226,27215
361,1080,3577440,7341,25992
362,1078,3505282,7297,26965
363,1079,3539770,7244,26891
364,1078,3539810,7058,25965
365,1081,3555531,7588,26771
366,1078,3502966,7345,26530
367,1079,3532145,7411,27159
368,1080,3553151,7168,26387
369,1073,3250150,6867,25100
370,1078,3520440,7475,27057
371,1077,3526455,7361,27419
372,1075,3508764,7338,27107
373,1076,3513284,7272,27167
374,1081,3549722,7470,27562
375,1078,3575204,7235,26178
