sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
0,0,0,0,0,0,0,0
1,172,1496,50,109,94,13949,109
2,164,20065,283,813,675,87413,813
3,164,189668,964,1966,1509,311629,1966
4,164,447970,1151,1451,1911,537813,1451
5,164,525321,738,996,1615,515811,996
6,165,540248,753,1187,1651,530772,1187
7,163,238454,587,2040,2950,352429,2040
8,165,136643,760,1970,1179,272044,1970
9,164,87019,305,936,1403,252946,936
10,164,345218,347,570,6554,479268,570
11,164,446370,238,667,4468,489286,667
12,164,494207,118,266,5237,516258,266
13,164,286559,320,762,5567,456407,762
14,165,220709,682,1588,2958,475720,1588
15,164,302092,306,711,3987,523107,711
16,164,225898,367,1666,2445,352202,1666
17,164,289005,910,2234,3174,461942,2234
18,163,252583,259,850,1995,446516,850
19,166,97598,161,959,1096,368543,959
20,164,349554,199,1931,3094,530437,1931
21,165,392742,10,1696,3265,460787,1696
22,164,410693,20,1781,3034,495950,1781
23,164,432061,22,1094,2712,496282,1094
24,164,404041,68,874,3805,515246,874
25,164,385338,0,1615,2418,473630,1615
26,164,364002,0,677,1722,494037,677
27,164,563244,5,1172,2365,510940,1172
28,164,437238,6,1583,2830,505398,1583
29,164,343717,40,1079,3292,510667,1079
30,164,492000,6,1497,2232,481885,1497
31,164,379667,21,655,2179,517947,655
32,164,480753,1,402,2082,509975,402
33,165,479243,1,392,2110,506071,392
34,163,510819,0,269,1433,496223,269
35,164,432075,0,484,1707,500987,484
36,178,362983,1,253,1342,514370,253
37,164,417533,0,275,1290,514514,275
38,164,397849,0,779,2287,518158,779
39,164,432873,0,1800,3862,534373,1800
40,163,350292,0,1633,2665,502194,1633
41,164,426136,7,1455,2379,493081,1455
42,166,301194,3,1228,2119,499675,1228
43,162,401570,0,1288,2076,481702,1288
44,164,220326,148,1585,2252,460861,1585
45,164,568852,2,241,3044,537320,241
46,164,292521,103,759,3311,531256,759
47,164,237447,36,1493,2914,425026,1493
48,165,198904,33,939,2574,337295,939
49,165,0,0,0,0,0,0
50,164,0,0,0,0,0,0
51,165,60535,4,21,24,44582,21
52,165,0,0,0,0,0,0
53,165,382434,19,125,168,269960,125
54,165,0,0,0,0,0,0
55,164,17238,0,0,5,13168,0
56,164,38823,0,0,4,21580,0
57,166,0,0,0,0,0,0
58,164,159865,295,1532,1710,374428,1532
59,164,268041,512,1654,2646,507378,1654
60,164,244742,126,1438,2259,520397,1438
61,164,483922,2,99,2622,543739,99
62,178,379852,3,1066,2546,538381,1066
63,164,62850,4,559,464,79743,559
64,164,439209,1,539,2486,543723,539
65,164,369716,1,353,2170,514151,353
66,164,390164,0,155,2270,534737,155
67,164,439724,0,100,2246,529955,100
68,164,208231,0,663,1295,484733,663
69,165,339258,8,1237,2399,517885,1237
70,164,465798,2,195,2414,544346,195
71,164,505816,1,92,2336,534176,92
72,164,414544,4,1239,2106,526147,1239
73,164,293672,6,3021,2321,505446,3021
74,165,280940,2,1353,1863,477045,1353
75,164,390591,0,890,2438,544375,890
76,164,399757,0,1243,2639,517730,1243
77,164,446978,0,1291,2801,521281,1291
78,166,379581,281,1754,2754,551475,1754
79,165,257029,12,338,2022,544013,338
80,166,271698,0,141,1772,553032,141
81,164,269350,0,202,1861,543724,202
82,177,263855,0,135,1955,543836,135
83,164,270172,2,148,1823,544004,148
84,164,387450,0,184,2489,543805,184
85,178,352632,0,191,2174,590477,191
86,172,336903,0,157,2057,571910,157
87,164,315361,0,132,1903,543768,132
88,164,348971,0,182,2141,543848,182
89,164,263686,0,246,1574,537298,246
90,172,331576,0,214,1947,565156,214
91,164,356622,1,495,1781,521052,495
92,177,233449,2,1536,1577,457267,1536
93,166,318250,0,109,1913,551708,109
94,164,235278,0,114,1468,543720,114
95,164,347141,0,165,2242,544022,165
96,172,336691,0,148,2142,569290,148
97,164,275284,0,171,1670,543980,171
98,164,235532,0,90,1393,543663,90
99,172,377438,0,177,2334,571337,177
100,164,440738,0,158,2557,544203,158
101,164,440981,0,165,2548,543728,165
102,164,480134,0,216,2774,544179,216
103,164,432818,0,173,2553,544011,173
104,164,430112,1,264,2472,537265,264
105,164,425741,0,257,2462,530813,257
106,164,467265,0,198,2740,538818,198
107,165,429752,0,170,2464,538710,170
108,164,391210,0,226,2277,539488,226
109,164,466868,0,234,2735,538039,234
110,164,244620,0,504,1627,520976,504
111,164,225299,0,79,1437,538611,79
112,164,319644,0,178,1871,543809,178
113,177,350379,0,234,2063,538647,234
114,166,433349,0,298,2515,545767,298
115,164,312062,0,239,1809,539352,239
116,177,256564,0,759,1510,489462,759
117,176,353445,0,236,2018,585986,236
118,176,343533,0,259,1945,578774,259
119,164,271952,0,243,1553,538874,243
120,165,351627,6,4004,2134,495876,4004
121,163,540886,1,974,3541,544186,974
122,167,238227,0,360,1482,551375,360
123,164,265011,0,233,1768,545039,233
124,164,239987,0,189,1447,544335,189
125,170,294475,0,148,1772,563746,148
126,167,243212,0,107,1428,553087,107
127,166,268918,0,202,1841,544407,202
128,164,308100,0,177,2034,544691,177
129,168,330044,0,163,1951,559482,163
130,164,272791,0,175,1642,543755,175
131,165,351348,1,185,2194,544221,185
132,176,472849,0,161,2776,586963,161
133,164,440405,0,225,2623,544249,225
134,164,467588,0,299,2711,536991,299
135,177,390069,0,298,2293,538750,298
136,164,476885,1,272,2722,539296,272
137,169,314065,0,882,1710,529115,882
138,169,249315,0,196,1496,561276,196
139,164,240881,4,969,1366,500425,969
140,165,253202,0,880,1586,479966,880
141,164,293903,0,744,1550,544395,744
142,164,239166,0,110,1324,543850,110
143,164,377937,0,564,1974,544158,564
144,164,254631,2,278,1277,543892,278
145,164,229991,0,394,1556,543919,394
146,174,391245,0,679,2242,571760,679
147,164,273643,0,131,1695,543658,131
148,177,322070,0,699,1744,534298,699
149,177,291446,0,292,1517,538635,292
150,164,233290,0,400,1470,544035,400
151,174,258379,0,618,1256,558369,618
152,164,238550,0,72,1353,544359,72
153,164,238165,2,91,1292,543830,91
154,164,421983,0,573,2192,543942,573
155,164,339084,0,473,1728,543748,473
156,164,260981,0,514,1259,543893,514
157,164,237446,0,117,1396,543896,117
158,168,330539,1,389,1826,549239,389
159,170,345713,0,493,2022,566068,493
160,165,356472,0,672,2058,538023,672
161,165,265427,75,3478,1699,518123,3478
162,165,452925,90,2679,3697,544028,2679
163,164,376863,1,1361,3793,543987,1361
164,177,351493,8,902,2109,480294,902
165,165,347157,1,274,1933,514370,274
166,164,351360,3,327,1975,519829,327
167,164,312059,7,328,1921,522280,328
168,166,292414,9,1099,1854,509353,1099
169,178,530343,31,1381,1095,567222,1381
170,164,472164,26,1543,3762,544249,1543
171,165,507288,0,317,3033,538180,317
172,164,402924,0,298,2115,522482,298
173,164,357886,0,278,1812,512967,278
174,164,473248,8,1004,2034,514079,1004
175,164,354903,7,1774,1521,530834,1774
176,177,433500,1,471,2718,520366,471
177,169,291342,0,252,1717,544313,252
178,164,311789,2,254,1873,521544,254
179,164,360056,0,347,1925,521678,347
180,164,401863,0,369,2041,517342,369
181,164,289794,17,1047,1177,365904,1047
182,164,425365,12,2765,1704,527564,2765
183,165,345782,0,432,2139,520241,432
184,164,357710,0,271,1979,521906,271
185,177,314183,0,295,1798,522357,295
186,168,421422,0,318,2194,538185,318
187,171,259376,0,317,1513,554257,317
188,165,297486,7,1315,1705,478695,1315
189,174,435285,20,1873,1217,563395,1873
190,164,352153,0,561,1910,520383,561
191,165,399252,0,360,2005,517056,360
192,164,398872,3,291,2250,521508,291
193,175,385724,1,392,2346,555677,392
194,176,402392,0,340,2199,521288,340
195,164,465856,26,1007,941,539258,1007
196,173,285432,0,1657,1962,555677,1657
197,164,270694,0,249,1464,521581,249
198,173,387644,0,402,2276,556618,402
199,171,340495,0,270,1713,542978,270
200,164,262632,1,422,1574,514037,422
201,164,279616,0,284,1679,529933,284
202,164,320646,4,568,1601,530794,568
203,164,430368,34,1741,1324,520593,1741
204,164,391930,35,1255,2941,532297,1255
205,164,268579,77,1157,2400,511636,1157
206,176,439812,247,3081,3885,582283,3081
207,164,321444,22,1668,3364,543995,1668
208,172,342265,4,1254,3440,572878,1254
209,164,419002,4,1143,3294,544098,1143
210,165,433850,8,1192,3262,544247,1192
211,164,356771,0,1318,3040,531563,1318
212,168,288618,1,2304,2261,459842,2304
213,164,468883,0,1216,3063,534592,1216
214,164,376645,2,1506,2714,529028,1506
215,172,299966,0,1393,2335,555330,1393
216,165,405647,3,2562,3698,527784,2562
217,164,312612,0,630,2275,538456,630
218,176,302723,0,907,2269,538661,907
219,165,390359,0,1474,3289,529189,1474
220,164,276922,0,1186,2240,525777,1186
221,164,325628,0,1105,2707,538193,1105
222,164,292073,1,155,1839,544024,155
223,164,362927,2,1521,2899,533267,1521
224,164,327892,1,1132,2535,533230,1132
225,173,404938,0,1735,3133,548873,1735
226,164,292993,0,271,1765,543655,271
227,164,296015,0,1280,2099,533980,1280
228,165,350366,25,1175,2496,534588,1175
229,164,367490,3,1360,2552,524351,1360
230,164,483398,7,821,2907,534414,821
231,165,292869,3,1502,2325,536815,1502
232,175,343269,3,1596,2664,554798,1596
233,165,288028,0,948,2201,532694,948
234,177,292580,0,1123,2287,584128,1123
235,183,322210,0,428,2002,579988,428
236,173,234840,3,2170,2060,539360,2170
