sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
0,0,0,0,0,0,0,0
1,168,0,0,0,0,0,0
2,164,0,0,0,0,0,0
3,165,34875,594,1169,680,167750,1169
4,164,46550,330,571,414,201907,571
5,164,51359,11,13,205,399132,13
6,164,86532,18,18,124,543890,18
7,163,86591,18,18,112,543955,18
8,164,86400,18,18,121,544000,18
9,164,86311,18,18,139,543941,18
10,163,86720,18,18,106,543671,18
11,164,86426,18,18,124,543910,18
12,163,86503,18,18,115,543913,18
13,164,86449,18,18,133,543926,18
14,164,86542,19,19,131,544062,19
15,163,86426,18,18,118,543670,18
16,164,86424,18,18,114,543944,18
17,164,86490,15,15,134,544159,15
18,163,86437,15,15,128,544297,15
19,165,76258,18,18,131,479757,18
20,163,86434,18,18,125,544198,18
21,164,86347,18,19,135,543718,19
22,163,86553,18,18,113,543821,18
23,164,86526,18,18,125,543637,18
24,163,86481,15,15,114,543779,15
25,164,86574,15,15,109,543860,15
26,164,86468,15,15,116,544043,15
27,164,86643,18,18,123,543852,18
28,164,86566,18,18,120,543946,18
29,164,86880,18,18,114,544214,18
30,164,86386,18,18,131,543903,18
31,164,86563,18,18,147,543997,18
32,164,86592,18,18,117,543760,18
33,163,86561,18,18,115,543584,18
34,164,86612,18,18,112,543704,18
35,164,86517,18,18,117,543895,18
36,163,86694,18,18,114,543866,18
37,164,86341,18,18,128,544053,18
38,163,86597,18,18,98,543515,18
39,164,86655,18,18,117,543994,18
40,164,86625,18,18,110,543713,18
41,165,86533,18,18,115,543796,18
42,164,86587,18,18,117,544130,18
43,164,80412,16,22,146,506351,22
44,164,86673,15,15,117,544511,15
45,164,86213,15,15,142,544196,15
46,164,86513,18,17,125,544224,17
47,164,86475,18,18,130,544278,18
48,164,86465,18,18,133,544001,18
49,164,86571,18,18,144,543733,18
50,164,86575,18,18,123,544019,18
51,163,86624,18,18,132,543989,18
52,164,86595,18,18,111,543751,18
53,163,86352,18,18,133,543814,18
54,164,86420,18,18,122,543819,18
55,164,86495,18,18,123,543988,18
56,163,86620,18,18,108,543871,18
57,164,86598,18,18,96,543750,18
58,163,86623,18,18,109,543721,18
59,164,86404,18,18,122,543831,18
60,164,86487,18,18,129,543592,18
61,163,86274,18,18,114,543627,18
62,164,86624,18,18,116,544044,18
63,163,86396,18,18,129,543857,18
64,164,86650,18,18,109,543868,18
65,163,86367,18,18,132,543857,18
66,164,86729,18,18,109,543995,18
67,164,81108,15,17,126,511821,17
68,164,86422,18,18,133,543856,18
69,164,86459,18,18,141,543890,18
70,163,86523,18,18,129,543873,18
71,164,86492,18,18,112,543803,18
72,163,86145,18,18,136,543749,18
73,164,86521,18,18,118,543690,18
74,163,86667,18,18,116,544011,18
75,164,86519,18,18,137,543998,18
76,164,86647,18,18,121,543999,18
77,163,86435,18,18,125,543778,18
78,164,86450,18,18,118,543675,18
79,163,86412,18,18,111,543788,18
80,164,86787,18,18,106,543815,18
81,164,86490,18,18,108,543809,18
82,163,86656,18,18,122,543872,18
83,164,86561,18,18,110,543784,18
84,164,86546,18,18,132,543997,18
85,163,86462,18,18,115,543812,18
86,164,86743,18,18,119,543883,18
87,165,87366,18,18,113,549931,18
88,164,86511,15,15,124,544144,15
89,164,86535,15,15,134,544113,15
90,163,86442,15,15,115,544103,15
91,165,86212,18,17,148,544523,17
92,164,80829,18,18,129,506843,18
93,163,86680,18,18,111,544585,18
94,164,86461,18,18,129,544178,18
95,164,86362,18,18,132,543988,18
96,163,86324,18,18,146,544058,18
97,164,86679,18,18,112,544034,18
98,164,86694,18,18,119,543813,18
99,163,86471,18,18,124,543731,18
100,164,86466,18,18,111,543670,18
101,164,86333,18,18,137,544045,18
102,163,86559,18,18,121,544267,18
103,164,86532,18,18,129,543869,18
104,164,86388,15,15,136,544040,15
105,163,86408,15,15,113,543957,15
106,164,86211,18,15,128,544019,15
107,164,86533,18,18,127,543961,18
108,165,86768,18,18,117,544419,18
109,164,86567,18,18,115,543842,18
110,163,86493,18,18,129,543703,18
111,164,86640,18,18,111,543857,18
112,164,86375,18,18,132,543788,18
113,163,86472,18,18,120,543828,18
114,164,86645,18,18,116,543872,18
115,164,86494,18,18,110,543802,18
116,164,81617,18,19,95,512209,19
117,164,86502,18,18,111,544044,18
118,163,86416,18,18,138,543928,18
119,164,86549,18,18,110,543624,18
120,163,86505,18,18,108,544056,18
121,164,86591,18,18,123,543819,18
122,164,86456,15,15,131,544039,15
123,163,86280,15,15,126,543963,15
124,164,86559,18,15,112,544033,15
125,164,86715,18,18,118,544188,18
126,166,86437,18,18,118,544106,18
127,164,86732,18,18,123,544669,18
128,164,86460,18,18,129,543993,18
129,164,86622,18,18,120,544387,18
130,164,86640,18,18,114,543721,18
131,164,86672,18,18,130,543956,18
132,164,86661,18,18,135,544095,18
133,163,86677,18,18,118,543789,18
134,164,86560,18,18,129,544131,18
135,164,86387,18,18,127,543868,18
136,163,86428,18,18,131,543624,18
137,164,86640,18,18,105,544112,18
138,163,86372,18,18,115,543834,18
139,164,86559,18,18,101,543809,18
140,163,86701,18,18,114,543973,18
141,164,80467,18,19,103,505384,19
142,164,86603,15,15,128,544064,15
143,164,86684,15,15,112,544171,15
144,164,86653,15,15,113,544266,15
145,164,86457,18,15,109,544182,15
146,164,86521,18,18,120,544053,18
147,164,86714,18,18,109,544192,18
148,164,86722,18,18,112,543976,18
149,164,86761,18,18,106,543751,18
150,164,86487,18,18,128,543845,18
151,163,86662,18,18,109,543734,18
152,164,86367,18,18,131,543879,18
153,164,86444,18,18,127,544010,18
154,163,86532,18,18,124,543906,18
155,164,86745,18,18,94,543785,18
156,163,86535,18,18,116,543835,18
157,164,86199,18,18,145,543751,18
158,164,86277,18,18,134,543733,18
159,163,86340,18,18,127,543900,18
160,164,86640,18,18,114,543863,18
161,163,86528,18,18,123,543851,18
162,164,86117,18,18,148,543834,18
163,163,86496,18,18,121,543817,18
164,164,86221,18,18,145,544028,18
165,164,80281,15,15,135,506749,15
166,164,86572,18,18,138,544094,18
167,164,86349,18,18,127,544064,18
168,163,86440,18,18,122,543798,18
169,164,86739,18,18,100,543899,18
170,164,86344,18,18,137,544048,18
171,163,86401,18,18,118,544036,18
172,164,86668,18,18,111,544061,18
173,163,86374,18,18,122,543862,18
174,164,86566,18,18,115,543778,18
175,163,86382,18,18,125,543754,18
176,164,86402,18,18,138,543854,18
177,164,86507,18,18,121,543926,18
178,163,86149,18,18,135,543668,18
179,164,86680,18,18,125,544059,18
180,163,86337,18,18,127,543891,18
181,164,86561,18,18,134,543868,18
182,164,86673,15,15,117,544251,15
183,165,87423,18,18,127,549625,18
184,163,86811,15,15,107,544051,15
185,164,86591,15,15,111,544328,15
186,164,86493,15,15,123,544179,15
