sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
0,0,807,133,188,34,27950,188
1,171,824,133,156,36,17964,156
2,164,0,0,0,0,0,0
3,164,0,0,0,0,0,0
4,164,77045,982,1486,1026,202157,1486
5,165,7852,152,312,169,100986,312
6,167,1090,0,15,0,83954,15
7,164,34651,525,968,23,389494,968
8,165,46193,698,1211,15,475164,1211
9,164,53443,808,1578,14,544227,1578
10,163,53636,810,1574,12,543659,1574
11,165,54958,800,1795,12,543984,1795
12,164,54004,786,1551,11,544388,1551
13,164,54112,811,1576,14,543814,1576
14,164,53317,804,1567,11,543598,1567
15,163,53678,811,1573,10,543683,1573
16,164,53506,808,1570,12,543606,1570
17,164,53498,808,1570,12,544529,1570
18,164,53543,809,1570,12,543990,1570
19,163,53640,811,1573,12,543604,1573
20,164,53594,810,1571,12,543462,1571
21,164,54410,797,1734,13,544168,1734
22,165,53950,786,1548,12,544179,1548
23,164,100467,794,1732,1960,498138,1732
24,163,53558,809,1574,14,543689,1574
25,164,53560,809,1573,12,543642,1573
26,164,53498,807,1572,12,543769,1572
27,163,53826,814,1578,11,543635,1578
28,164,53349,804,1569,11,543492,1569
29,163,53342,804,1569,12,543410,1569
30,164,53635,811,1575,13,543943,1575
31,165,54921,791,1738,14,544075,1738
32,164,53981,786,1548,12,544299,1548
33,165,48881,781,1472,10,501759,1472
34,164,54350,786,1548,12,544460,1548
35,164,53553,801,1563,11,543614,1563
36,164,53389,805,1564,12,543729,1564
37,163,53617,810,1569,12,544003,1569
38,164,53585,810,1569,11,543719,1569
39,164,53340,805,1564,12,544118,1564
40,166,56341,800,1584,32,543990,1584
41,164,53539,810,1569,12,544931,1569
42,164,53725,812,1572,12,543863,1572
43,164,53924,803,1641,13,544097,1641
44,164,54085,791,1550,13,543899,1550
45,164,53813,786,1548,11,544363,1548
46,164,53593,810,1568,12,543495,1568
47,164,53640,811,1570,12,543790,1570
48,164,53302,804,1563,10,543373,1563
49,163,53491,806,1565,13,543475,1565
50,164,53509,809,1567,11,544093,1567
51,164,53359,805,1564,11,543305,1564
52,163,53341,804,1563,12,543466,1563
53,164,53760,813,1571,12,543487,1571
54,164,54312,798,1713,13,543815,1713
55,165,54205,788,1549,15,544048,1549
56,164,56890,797,1560,21,543589,1560
57,165,50740,768,1529,15,511878,1529
58,164,53803,808,1573,12,543754,1573
59,163,53178,800,1562,13,543572,1562
60,164,53424,806,1567,12,543701,1567
61,163,53584,810,1572,11,543641,1572
62,164,53546,809,1571,12,543907,1571
63,164,53265,803,1566,12,544073,1566
64,164,53752,813,1575,12,543502,1575
65,158,51674,770,1531,12,522708,1531
66,164,31434,452,1028,9,322047,1028
67,163,53654,811,1572,11,543509,1572
68,164,53433,807,1568,11,543974,1568
69,164,53690,812,1574,12,544054,1574
70,164,53594,810,1572,12,543916,1572
71,164,54714,792,1794,13,543701,1794
72,165,56735,786,1637,20,544052,1637
73,164,53817,795,1557,13,543619,1557
74,163,53701,812,1571,11,543444,1571
75,164,53592,810,1569,11,543539,1569
76,164,53651,810,1569,13,543675,1569
77,163,53586,810,1568,13,543480,1568
78,164,53629,810,1568,12,543704,1568
79,164,53569,810,1569,11,543650,1569
80,164,53305,804,1563,12,544016,1563
81,171,53340,804,1563,12,543740,1563
82,165,51549,779,1380,14,527182,1380
83,164,55152,791,1743,12,544445,1743
84,169,55292,809,1571,16,560356,1571
85,163,53773,813,1572,14,543873,1572
86,164,53332,804,1562,11,543647,1562
87,164,53584,808,1567,13,543445,1567
88,164,53714,812,1571,11,543969,1571
89,163,56504,803,1570,17,543588,1570
90,164,53819,815,1573,12,543774,1573
91,164,53737,813,1571,11,543691,1571
92,164,54963,796,1809,14,543670,1809
93,165,54257,786,1548,12,544209,1548
94,163,53648,808,1569,12,543456,1569
95,164,53876,815,1573,12,543834,1573
96,164,53587,810,1568,12,543686,1568
97,164,53726,811,1570,11,543571,1570
98,163,53594,810,1569,13,543659,1569
99,164,53592,810,1569,11,543677,1569
100,164,53608,810,1569,12,543526,1569
