sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
0,0,0,0,0
1,1070,1887088,4549,7358
2,1064,2341067,2870,7262
3,1061,3130408,832,6568
4,1062,3305736,315,5808
5,1062,4230811,2,1641
6,1062,3605123,126,3539
7,1062,3720462,90,3045
8,1061,3628395,67,5299
9,1062,3888755,0,2735
10,1062,3890078,0,2448
11,1062,3226083,175,6395
12,1062,2583076,18,7009
13,1062,3287553,169,20913
14,1062,2882926,560,3776
15,1062,3731658,0,18
16,1061,3734357,0,12
17,1066,3727775,1,93
18,1062,3548747,0,722
19,1062,3744725,0,15
20,1040,3643980,0,51
21,1062,3739309,0,62
22,1061,3739494,0,10
23,1062,3736783,0,9
24,1061,3732955,0,64
25,1064,3680226,1,339
26,1062,3746979,1,20
27,1061,3742917,0,4
28,1062,3730905,0,58
29,1062,3739506,0,6
30,1061,3743735,0,4
31,1061,3743813,0,4
32,1062,3721009,0,72
33,1061,3746833,0,0
34,1552,5479593,2,8
35,1063,3728565,0,76
36,1062,3602091,0,670
37,1062,3750802,0,14
38,1061,3757947,0,4
39,1062,3742698,0,98
40,1061,3762816,0,10
41,1062,3770672,0,4
42,1061,3763425,0,2
43,1062,3759764,0,62
44,1062,3771398,0,8
45,1061,3766356,0,3
46,1062,3761716,0,47
47,1062,3771475,0,9
48,1061,3777097,0,3
49,1329,4715884,0,4
50,1063,3763424,0,53
51,1062,3772174,0,12
52,1062,3766952,0,5
53,1062,3766141,0,1
54,1063,3638328,0,735
55,1062,3770802,1,10
56,1062,3773272,0,3
57,1062,3763006,0,55
58,1062,3771237,0,11
59,1062,3760296,0,8
60,1061,3764997,1,4
61,1063,3751168,0,74
62,1061,3774548,2,17
63,1062,3767614,0,7
64,1062,3767446,0,3
65,1064,3758282,2,68
66,1062,3772034,0,7
67,1062,3765468,0,9
68,1061,3774338,0,1
69,1063,3762670,0,46
70,1062,3765030,0,7
71,1064,3777654,0,4
72,1062,3652115,0,628
73,1063,3766821,0,54
74,1062,3769731,0,9
75,1061,3771465,0,5
76,1063,3762795,0,53
77,1061,3770672,0,13
78,1062,3774889,0,8
79,1061,3773522,0,3
80,1064,3765029,0,44
81,1062,3769357,0,7
82,1062,3766338,0,6
83,1062,3768259,0,3
84,1065,3753819,0,15
85,1062,3771650,0,8
86,1061,3768159,0,3
87,1062,3774119,0,2
88,1061,3758814,0,34
89,1062,3775752,0,6
90,1063,3780879,0,6
91,1063,3631854,0,677
92,1061,3765836,0,12
93,1062,3768161,0,7
94,1062,3768391,0,7
95,1064,3766476,0,47
96,1062,3771560,0,11
97,1062,3766321,0,6
98,1061,3769378,0,3
99,1062,3753035,0,33
100,1062,3759174,0,4
101,1062,3760775,0,7
102,1062,3694810,0,382
103,1062,3770370,0,69
104,1062,3785114,0,8
105,1062,3779470,0,7
106,1062,3769182,0,72
107,1062,3768070,0,19
108,1061,3752720,0,5
109,1062,3764405,0,7
110,1064,3653518,1,715
111,1062,3787402,0,17
112,1062,3778180,1,19
113,1061,3781711,3,7
114,1062,3771577,0,52
115,1062,3775654,0,4
116,1062,3774809,0,2
117,1062,3778391,0,10
118,1063,3772335,0,31
119,1063,3729131,0,309
120,1061,3779309,0,12
121,1062,3773255,0,89
122,1062,3784251,0,16
123,1062,3788742,2,10
124,1061,3786713,1,6
125,1064,3786871,0,69
126,1062,3791764,1,9
127,1062,3786986,0,3
128,1062,3790313,0,1
129,1062,3650199,1,725
130,1062,3794785,0,22
131,1062,3789929,0,8
132,1062,3781407,0,8
133,1062,3770322,0,76
134,1062,3778811,0,9
135,1061,3780121,0,1
136,1062,3779015,0,1
137,1062,3768134,0,54
138,1062,3783433,0,11
139,1062,3780706,0,2
140,1063,3779405,0,39
141,1062,3787586,0,14
142,1062,3782828,0,6
143,1062,3785421,0,3
144,1062,3779098,0,24
145,1062,3776644,0,9
146,1062,3777289,0,0
147,1062,3662084,0,581
148,1061,3771505,0,104
149,1062,3773064,0,9
150,1062,3771722,0,3
151,1062,3775534,0,7
152,1062,3769946,0,40
153,1062,3768428,3,12
154,1061,3775017,3,6
155,1079,3828576,0,46
156,1063,3779288,0,8
157,1062,3785585,0,8
158,1061,3790721,0,2
159,1063,3778354,0,53
160,1061,3778719,0,9
161,1062,3787000,1,6
162,1062,3785190,0,5
163,1062,3772133,1,49
164,1062,3790734,2,13
165,1062,3789119,0,12
166,1062,3665914,0,655
167,1062,3776272,0,62
168,1062,3785255,0,17
169,1061,3785182,0,6
170,1063,3771538,0,59
171,1063,3787263,0,9
172,1063,3784644,0,5
173,1064,3791406,0,7
174,1068,3802514,0,46
175,1063,3800198,1,3
176,1062,3795316,1,3
177,1062,3805197,0,6
178,1062,3801578,0,49
179,1062,3804113,0,10
180,1062,3809639,0,6
181,1061,3805788,0,6
182,1062,3789160,0,50
183,1062,3798814,0,11
184,1064,3691308,0,612
185,1062,3802541,0,72
186,1064,3739608,20,709
187,1062,3728808,0,21
188,1062,3735887,0,13
189,1062,3731745,0,77
190,1062,3747990,0,9
191,1062,3749084,0,3
192,1062,3745373,0,12
193,1062,3725632,0,44
194,1062,3734606,0,11
195,1061,3730226,0,6
196,1062,3736698,0,2
197,1062,3737219,0,36
198,1062,3747510,0,6
199,1062,3747160,0,1
200,1062,3749375,0,2
201,1063,3738652,0,35
202,1062,3740430,0,6
203,1063,3615679,0,661
204,1062,3732363,0,72
205,1062,3741295,0,5
206,1062,3741600,0,10
207,1062,3746202,0,12
208,1062,3737940,0,87
209,1063,3749683,0,13
210,1061,3757615,0,8
211,1062,3759871,0,4
212,1064,3754528,0,51
213,1062,3715353,0,288
214,1062,3769659,0,13
215,1062,3770259,0,6
216,1064,3761116,0,86
217,1062,3773860,0,6
218,1062,3776204,0,6
219,1062,3760790,2,30
220,1062,3767871,0,9
221,1062,3763307,0,3
222,1062,3648015,0,653
223,1062,3762458,0,84
224,1062,3767447,0,5
225,1062,3771502,0,4
226,1061,3774873,0,5
227,1062,3750769,0,93
228,1062,3771602,0,10
229,1062,3773024,0,5
230,1062,3771522,0,4
231,1063,3764777,0,43
232,1063,3769692,0,14
233,1061,3769702,0,4
234,1063,3766296,1,32
235,1061,3762997,0,10
236,1062,3771559,0,5
237,1062,3766200,0,7
238,1062,3757786,0,30
239,1061,3772002,0,6
240,1061,3772547,0,7
241,1062,3648936,0,627
242,1063,3753428,0,103
243,1062,3770260,0,13
244,1061,3776897,0,4
245,1062,3776955,0,3
246,1063,3771988,0,70
247,1063,3780727,0,10
248,1061,3770205,0,10
249,1067,3771995,0,5
250,1063,3455943,0,872
251,1062,3767940,0,11
252,1062,3769563,0,7
253,1061,3743771,0,114
254,1064,3759459,8,18
255,1062,3764981,0,11
256,1062,3763816,0,8
257,1061,3756447,0,84
258,1062,3770303,0,7
259,1061,3769617,0,6
260,1062,3639912,0,653
261,1100,3887577,0,91
262,1062,3772688,0,12
263,1062,3774761,0,2
264,1061,3769609,0,6
265,1063,3762325,0,108
266,1060,3767067,0,6
267,1060,3769533,0,8
268,1061,3754506,0,50
269,1063,3767478,0,4
270,1062,3770019,0,9
271,1061,3761249,0,3
272,1062,3754183,0,177
273,1062,3767954,0,11
274,1061,3766757,0,16
275,1061,3765425,0,8
276,1063,3768037,0,76
277,1063,3778888,0,6
278,1063,3658134,0,678
279,1063,3780405,1,26
280,1063,3747995,0,104
281,1062,3756382,0,9
282,1061,3774522,0,5
283,1063,3769300,0,83
284,1061,3782554,0,18
285,1062,3778538,0,20
286,1062,3776390,0,7
287,1062,3766711,0,66
288,1062,3779341,0,7
289,1061,3770649,0,6
290,1062,3779561,0,5
291,1062,3768305,0,52
292,1065,3793830,1,8
293,1062,3780042,0,6
294,1062,3779200,0,2
295,1062,3776602,0,64
296,1062,3788100,0,3
297,1062,3671737,0,647
298,1062,3781333,0,109
299,1062,3781920,0,12
300,1062,3784737,0,5
301,1062,3786775,0,1
302,1062,3784165,0,52
303,1062,3790262,0,11
304,1062,3782573,1,4
305,1062,3781248,0,10
306,1062,3765665,0,30
307,1064,3731023,0,272
308,1062,3781296,0,7
309,1062,3777435,0,4
310,1062,3765711,0,42
311,1062,3780499,0,6
312,1062,3777915,0,3
313,1062,3768692,0,17
314,1062,3774080,0,16
315,1062,3658934,0,631
316,1061,3783658,0,11
317,1065,3779627,0,55
318,1062,3780453,0,7
319,1062,3782811,1,3
320,1062,3784133,0,3
321,1062,3770778,0,40
322,1063,3778284,0,11
323,1062,3773067,0,1
324,1062,3768760,0,4
325,1062,3762790,0,64
326,1062,3774471,2,14
327,1062,3782651,2,8
328,1061,3775169,0,2
329,1063,3768978,2,59
330,1061,3782509,0,9
331,1062,3782447,0,4
332,1062,3775966,0,46
333,1062,3782404,0,9
334,1062,3663725,0,638
335,1062,3783134,0,10
336,1063,3771066,0,87
337,1063,3785360,0,12
338,1062,3778934,0,7
339,1062,3776106,0,3
340,1062,3769628,2,60
341,1062,3784567,1,9
342,1062,3785826,0,4
343,1061,3787110,0,3
344,1063,3772437,0,32
345,1061,3782302,0,3
346,1062,3793837,0,7
347,1062,3793930,0,63
348,1062,3806347,0,22
349,1062,3802553,0,3
350,1062,3804382,0,6
351,1062,3796422,0,58
352,1063,3806694,0,19
353,1062,3680633,0,645
354,1061,3799621,0,9
355,1062,3793055,0,84
356,1061,3796669,0,6
357,1062,3799252,0,0
358,1061,3801623,0,4
359,1063,1911563,114,504
360,1062,1814810,4,24
361,1062,1564465,23,1077
