index,cycles
0,1896
1,208
2,216
3,212
4,210
5,214
6,212
7,216
8,214
9,212
10,558
11,210
12,206
13,208
14,514
15,212
16,208
17,208
18,208
19,210
20,208
21,208
22,204
23,208
24,214
25,206
26,210
27,208
28,210
29,194
30,206
31,206
32,212
33,210
34,570
35,210
36,208
37,210
38,204
39,210
40,204
41,210
42,210
43,208
44,212
45,206
46,206
47,208
48,210
49,476
50,206
51,210
52,210
53,210
54,284
55,208
56,210
57,208
58,208
59,208
60,206
61,212
62,212
63,212
64,206
65,210
66,206
67,208
68,206
69,528
70,210
71,208
72,210
73,194
74,200
75,206
76,210
77,208
78,212
79,208
80,208
81,208
82,208
83,208
84,206
85,208
86,206
87,208
88,214
89,518
90,204
91,204
92,210
93,204
94,198
95,210
96,206
97,210
98,208
99,208
100,212
101,204
102,210
103,208
104,210
105,206
106,206
107,210
108,210
109,198
110,208
111,208
112,208
113,210
114,198
115,204
116,212
117,210
118,208
119,214
120,214
121,208
122,208
123,208
124,206
125,210
126,206
127,204
128,208
129,198
130,202
131,206
132,208
133,214
134,204
135,302
136,210
137,212
138,208
139,208
140,208
141,206
142,212
143,208
144,212
145,208
146,208
147,208
148,204
149,210
150,524
151,204
152,206
153,210
154,200
155,192
156,206
157,204
158,206
159,210
160,204
161,212
162,208
163,204
164,208
165,212
166,210
167,210
168,208
169,212
170,394
171,212
172,206
173,210
174,206
175,200
176,210
177,208
178,212
179,204
180,208
181,208
182,206
183,210
184,206
185,214
186,204
187,206
188,212
189,208
190,198
191,210
192,204
193,208
194,202
195,192
196,178
197,232
198,200
199,184
200,184
201,176
202,194
203,186
204,196
205,188
206,178
207,184
208,200
209,258
210,210
211,202
212,194
213,186
214,182
215,180
216,628
217,190
218,210
219,182
220,190
221,242
222,210
223,200
224,200
225,210
226,264
227,190
228,194
229,182
230,212
231,594
232,186
233,210
234,184
235,182
236,210
237,180
238,198
239,194
240,184
241,182
242,218
243,200
244,212
245,210
246,200
247,182
248,230
249,182
250,176
251,182
252,228
253,182
254,186
255,214
